boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
2,2,1,0,0,3,2,0
2,2,1,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,0,0,4,2,0
2,2,1,0,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,0,0,3,2,0
2,2,0,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,0,0,4,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,1,0,0,4,2,0
3,4,2,1,0,3,2,0
3,4,2,2,0,18,3,0
3,4,1,0,0,3,2,0
3,4,2,0,0,18,3,0
3,4,0,0,0,20,3,0
3,4,2,1,0,3,2,0
3,4,0,0,0,18,3,0
3,4,2,1,0,4,2,0
3,4,0,1,0,3,2,0
3,4,2,0,0,18,3,0
3,4,0,1,0,3,2,0
3,4,0,0,0,18,3,0
3,4,0,2,0,19,3,0
3,4,2,1,0,4,2,0
3,4,2,0,0,18,3,0
3,4,2,2,0,18,3,0
3,4,0,0,0,19,3,0
3,4,2,1,0,3,2,0
3,4,0,0,0,18,3,0
3,4,2,2,0,18,3,0
4,8,0,0,0,20,15,0
4,8,3,1,24,20,14,116768
4,8,2,1,0,19,15,0
4,8,3,0,0,19,15,0
4,8,0,1,24,18,14,116880
4,8,3,2,24,19,14,116768
4,8,3,1,24,18,14,116880
4,8,2,3,24,18,14,116768
4,8,0,1,24,19,14,116768
4,8,3,2,24,18,14,116768
4,8,0,0,0,19,15,0
4,8,0,1,24,18,14,116880
4,8,1,1,0,19,15,0
4,8,0,3,0,18,15,0
4,8,0,2,24,20,14,116768
4,8,0,3,0,18,15,0
4,8,1,2,0,18,15,0
4,8,3,3,0,18,15,0
4,8,2,0,24,19,14,116768
4,8,0,2,24,18,14,116880
5,12,3,2,36,22,144,131560
5,12,1,4,36,21,232,140208
5,12,2,3,36,22,215,138696
5,12,4,4,36,22,163,133352
5,12,2,4,36,22,218,138416
5,12,3,3,36,22,340,151328
5,12,1,3,36,21,312,148752
5,12,2,4,36,21,218,138528
5,12,1,3,36,22,312,148448
5,12,1,0,36,22,162,133240
5,12,3,4,36,22,172,133968
5,12,0,0,36,21,161,133184
5,12,1,4,36,22,232,140208
5,12,1,4,36,23,232,140208
5,12,2,3,36,24,215,138808
5,12,2,2,37,22,373,152112
5,12,4,2,36,21,244,140824
5,12,2,2,37,23,373,152112
5,12,1,1,36,22,197,136736
5,12,1,3,36,22,312,148448
6,18,4,1,55,30,5687,816888
6,18,4,3,55,31,7508,1013904
6,18,4,1,55,30,5687,816840
6,18,5,4,55,31,8637,1179464
6,18,3,5,55,33,9261,1290512
6,18,0,0,55,34,10042,1389520
6,18,4,1,55,30,5687,816888
6,18,4,1,55,29,5687,816888
6,18,1,2,55,33,7760,1049352
6,18,5,4,55,31,8637,1179464
6,18,1,1,55,29,5971,863992
6,18,3,4,55,31,7536,1017824
6,18,2,2,55,31,7772,1110472
6,18,3,5,55,32,9261,1290512
6,18,3,5,55,34,9261,1290512
6,18,1,3,55,30,7545,1018888
6,18,2,4,55,31,7674,1039104
6,18,1,2,55,32,7760,1049352
6,18,4,3,55,32,7508,1013904
6,18,1,3,55,30,7545,1018776
7,24,4,4,73,117,151073,21328600
7,24,6,4,72,40,21010,3345712
7,24,5,1,73,122,188922,26942176
7,24,6,5,72,96,109226,16177120
7,24,4,3,72,60,41579,6557432
7,24,4,1,73,119,175245,24972632
7,24,0,6,72,57,38279,6470904
7,24,1,1,73,124,188455,26812400
7,24,5,2,73,119,175640,25046688
7,24,6,4,72,41,21010,3345824
7,24,6,1,72,111,157929,21981240
7,24,1,2,73,124,175186,24974464
7,24,6,3,72,57,41548,6919808
7,24,5,5,73,133,189166,26953384
7,24,1,5,73,121,188870,26913152
7,24,6,4,72,41,21010,3345712
7,24,5,2,73,122,175640,25046968
7,24,0,1,72,107,145142,20534752
7,24,5,0,72,93,88611,13425384
7,24,0,4,72,58,40107,6285544
8,32,7,7,96,748,1201339,207897992
8,32,4,6,96,719,1124045,194534136
8,32,3,1,96,398,587041,106457856
8,32,2,5,97,2504,4294026,740617352
8,32,0,6,96,1363,2374561,391564552
8,32,0,5,97,2660,4808145,706277312
8,32,5,6,97,2572,4672746,681173712
8,32,6,3,96,372,554943,101852992
8,32,0,4,96,387,579623,105831752
8,32,6,6,96,887,1438085,242083136
8,32,4,4,96,1531,2631990,410847456
8,32,5,5,97,2152,3736713,624962904
8,32,0,3,96,728,1158233,199305592
8,32,0,2,97,2660,4864834,717917912
8,32,1,7,96,397,608369,110773672
8,32,5,0,97,2669,4930437,731152152
8,32,5,7,97,2640,4838997,712368256
8,32,1,4,96,223,315988,56046392
8,32,3,5,97,2322,4273446,656903344
8,32,1,3,96,361,527283,98704752
