boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
2,2,0,0,0,4,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,0,0,4,2,0
2,2,1,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,4,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,0,0,4,2,0
2,2,1,0,0,3,2,0
2,2,0,1,0,5,2,0
2,2,0,0,0,3,2,0
2,2,1,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,0,0,3,2,0
2,2,0,1,0,4,2,0
3,4,0,1,0,3,2,0
3,4,0,1,0,4,2,0
3,4,0,1,0,4,2,0
3,4,1,0,0,3,2,0
3,4,1,1,0,3,2,0
3,4,1,0,0,3,2,0
3,4,1,0,0,3,2,0
3,4,0,0,0,4,3,0
3,4,1,0,0,3,2,0
3,4,0,0,0,4,3,0
3,4,0,0,0,3,3,0
3,4,0,2,0,4,3,0
3,4,2,1,0,3,2,0
3,4,0,0,0,3,3,0
3,4,0,1,0,3,2,0
3,4,0,2,0,4,3,0
3,4,1,1,0,3,2,0
3,4,0,1,0,4,2,0
3,4,0,1,0,3,2,0
3,4,0,0,0,3,3,0
4,8,1,1,0,4,15,0
4,8,2,1,0,4,15,0
4,8,0,2,24,4,14,-1112
4,8,1,3,24,4,14,-1112
4,8,0,1,24,4,14,-1112
4,8,3,0,0,4,15,0
4,8,0,0,0,4,15,0
4,8,3,1,24,3,14,-1112
4,8,0,1,24,4,14,-1112
4,8,2,2,0,4,15,0
4,8,0,1,24,4,14,-1112
4,8,3,0,0,4,15,0
4,8,1,0,24,4,14,-1112
4,8,0,1,24,4,14,-1112
4,8,0,3,0,4,15,0
4,8,1,2,0,4,15,0
4,8,2,3,24,4,14,-1112
4,8,3,1,24,4,14,-1112
4,8,1,3,24,4,14,-1112
4,8,1,3,24,4,14,-1112
5,12,4,2,37,12,1637,154240
5,12,4,0,36,12,1666,157320
5,12,1,1,36,12,1665,155024
5,12,4,0,36,12,1666,157320
5,12,1,3,36,12,1662,154848
5,12,1,3,36,12,1662,154848
5,12,1,2,36,12,1610,147400
5,12,1,2,36,13,1610,147352
5,12,4,1,37,14,1687,157824
5,12,0,4,36,12,1666,157152
5,12,0,4,36,12,1666,157152
5,12,0,4,36,12,1666,157152
5,12,0,0,36,13,1662,156760
5,12,4,4,36,16,1666,157096
5,12,2,4,37,11,1636,154072
5,12,2,0,37,15,1643,154688
5,12,3,2,36,12,1606,147184
5,12,2,2,38,12,2121,196200
5,12,0,1,37,11,1689,158048
5,12,4,2,37,12,1637,154240
6,18,5,4,55,1770,1826056,189805192
6,18,5,0,55,1891,1930718,198783552
6,18,1,2,55,1812,1914014,194035640
6,18,0,5,55,1927,1930558,198377928
6,18,0,1,55,1739,1807391,188300768
6,18,5,0,55,1888,1930718,198236744
6,18,2,5,55,1897,1997939,201757136
6,18,1,2,55,1826,1914014,194355416
6,18,3,1,55,1833,1922863,194857408
6,18,1,4,55,1604,1647138,173518952
6,18,1,4,55,1600,1647138,173156048
6,18,3,2,55,1746,1864876,180500528
6,18,2,1,55,1818,1908036,193111872
6,18,2,1,55,1821,1908036,193630968
6,18,2,3,55,1727,1865694,180262544
6,18,1,2,55,1819,1914014,194031472
6,18,5,1,55,1748,1807342,188193968
6,18,3,4,55,1835,1908402,193140448
6,18,1,0,55,1762,1815382,189249128
6,18,3,4,55,1820,1908402,193758512
