boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
2,2,0,1,0,4,2,0
2,2,0,1,0,3,2,0
2,2,1,0,0,3,2,0
2,2,1,0,0,3,2,0
2,2,1,0,0,3,2,0
2,2,0,0,0,4,2,0
2,2,0,0,0,4,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,4,2,0
2,2,0,0,0,3,2,0
2,2,0,0,0,3,2,0
2,2,0,1,0,4,2,0
2,2,0,0,0,3,2,0
2,2,0,1,0,4,2,0
2,2,1,0,0,4,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,0,0,3,2,0
2,2,0,0,0,3,2,0
3,4,0,2,0,18,3,0
3,4,1,2,0,3,2,0
3,4,0,0,0,18,3,0
3,4,2,2,0,18,3,0
3,4,2,0,0,18,3,0
3,4,1,2,0,4,2,0
3,4,1,0,0,3,2,0
3,4,2,0,0,18,3,0
3,4,2,1,0,3,2,0
3,4,0,0,0,19,3,0
3,4,2,1,0,3,2,0
3,4,2,2,0,25,3,0
3,4,0,0,0,18,3,0
3,4,1,2,0,3,2,0
3,4,0,2,0,18,3,0
3,4,1,1,0,3,2,0
3,4,1,2,0,3,2,0
3,4,0,2,0,18,3,0
3,4,2,2,0,18,3,0
3,4,1,0,0,3,2,0
4,8,1,2,0,18,15,0
4,8,0,3,0,19,15,0
4,8,3,3,0,18,15,0
4,8,2,3,24,19,8,116432
4,8,0,1,24,21,8,116432
4,8,2,3,24,19,8,116432
4,8,2,1,0,19,15,0
4,8,0,0,0,18,15,0
4,8,1,0,24,18,8,116432
4,8,2,3,24,18,8,116432
4,8,2,3,24,18,8,116544
4,8,2,2,0,18,15,0
4,8,0,3,0,18,15,0
4,8,3,0,0,18,15,0
4,8,1,0,24,18,8,116432
4,8,3,3,0,18,15,0
4,8,2,3,24,19,8,116432
4,8,3,3,0,18,15,0
4,8,1,1,0,20,15,0
4,8,3,2,24,18,8,116432
5,12,0,0,36,19,12,117160
5,12,1,2,37,19,12,117432
5,12,0,2,36,18,12,117160
5,12,2,1,36,18,12,117272
5,12,4,0,36,18,12,117264
5,12,1,2,37,19,12,117320
5,12,4,1,37,19,12,117264
5,12,2,2,37,18,12,117264
5,12,0,1,37,18,12,117160
5,12,4,4,36,21,12,117160
5,12,2,1,36,18,12,117160
5,12,0,4,36,19,12,117160
5,12,3,3,36,18,12,117160
5,12,2,4,37,19,12,117264
5,12,1,4,36,19,12,117160
5,12,2,3,36,18,12,117272
5,12,3,3,36,18,12,117160
5,12,2,1,36,18,12,117160
5,12,0,4,36,18,12,117160
5,12,3,2,37,19,12,117160
6,18,0,5,55,20,18,118544
6,18,2,5,55,19,19,118600
6,18,5,1,55,20,20,118544
6,18,4,3,55,18,20,118712
6,18,1,1,55,19,20,118544
6,18,4,0,55,20,18,118544
6,18,3,2,55,19,20,118824
6,18,5,5,55,20,18,118544
6,18,1,5,55,18,18,118328
6,18,5,1,55,19,20,118544
6,18,1,1,55,20,20,118544
6,18,0,2,55,19,19,118768
6,18,1,5,55,19,18,118216
6,18,2,4,55,19,19,118432
6,18,3,5,55,19,19,118600
6,18,0,0,55,23,18,118544
6,18,0,3,55,26,19,118768
6,18,2,5,55,19,19,118712
6,18,1,5,55,19,18,118328
6,18,1,1,55,19,20,118544
7,24,3,4,73,20,24,119720
7,24,1,2,73,20,26,119888
7,24,3,4,73,20,24,119720
7,24,4,6,73,19,25,119776
7,24,3,6,74,20,26,120168
7,24,3,0,73,19,25,120168
7,24,2,4,74,20,26,120432
7,24,5,1,73,20,25,119776
7,24,5,5,73,19,24,119776
7,24,4,0,72,20,24,119552
7,24,0,6,73,19,26,119944
7,24,1,3,73,20,24,119608
7,24,0,0,73,20,25,119944
7,24,5,4,73,19,24,119776
7,24,1,5,73,24,24,119608
7,24,2,5,74,19,26,120112
7,24,6,5,74,19,26,119888
7,24,2,6,73,19,24,119776
7,24,1,3,73,20,24,119608
7,24,0,3,74,20,26,120168
8,32,6,2,97,20,33,121720
8,32,0,3,98,20,32,122000
8,32,6,1,97,20,34,121664
8,32,5,0,98,21,35,122224
8,32,7,3,98,20,33,122056
8,32,0,3,98,20,32,122000
8,32,6,0,98,20,32,121832
8,32,6,5,97,20,32,121664
8,32,3,4,97,20,32,121272
8,32,2,4,98,23,32,122168
8,32,4,2,97,21,32,121384
8,32,2,5,97,20,32,121496
8,32,0,5,98,21,32,122056
8,32,2,6,98,20,32,122000
8,32,3,6,98,21,32,122000
8,32,3,7,98,20,34,121776
8,32,4,2,97,20,32,121384
8,32,0,7,97,20,32,121272
8,32,4,1,97,20,33,121664
8,32,7,5,98,21,33,122000
9,40,2,6,121,20,41,124072
9,40,2,5,123,20,40,123848
9,40,4,3,122,21,40,123344
9,40,4,2,122,20,41,123792
9,40,3,4,122,20,40,123400
9,40,5,0,122,20,41,123792
9,40,6,2,121,21,41,124184
9,40,0,4,123,21,40,124072
9,40,2,0,122,21,41,123456
9,40,8,3,122,21,44,124072
9,40,6,2,121,24,41,124184
9,40,0,7,122,20,40,123400
9,40,2,5,123,20,40,123848
9,40,2,1,121,20,41,123568
9,40,0,7,122,21,40,123400
9,40,2,1,121,20,41,123568
9,40,1,1,121,21,40,123568
9,40,8,6,121,20,42,124448
9,40,3,4,122,20,40,123512
9,40,4,7,123,20,41,123960
10,50,7,8,152,21,51,126072
10,50,6,8,152,20,50,125736
10,50,9,4,152,30,50,126016
10,50,2,6,153,21,50,126072
10,50,4,1,151,21,51,125960
10,50,8,9,153,21,51,125568
10,50,7,4,152,21,51,126240
10,50,6,6,151,21,51,126632
10,50,1,5,152,21,51,125848
10,50,7,9,152,21,50,125792
10,50,0,9,151,21,51,126296
10,50,0,3,153,21,51,126240
10,50,5,3,152,21,51,126856
10,50,5,8,153,21,51,126296
10,50,1,1,151,21,51,125792
10,50,3,3,153,21,51,126352
10,50,8,5,152,21,50,125904
10,50,7,9,152,22,50,125792
10,50,5,3,152,24,51,126856
