boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
2,2,1,0,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,4,2,0
2,2,1,0,0,4,2,0
2,2,0,0,0,3,2,0
2,2,1,0,0,3,2,0
2,2,0,0,0,3,2,0
2,2,0,1,0,3,2,0
2,2,1,0,0,3,2,0
2,2,1,0,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,4,2,0
2,2,0,0,0,3,2,0
2,2,1,1,0,5,2,0
2,2,0,1,0,3,2,0
2,2,0,0,0,3,2,0
3,4,0,2,0,4,3,0
3,4,0,2,0,3,3,0
3,4,1,0,0,3,2,0
3,4,2,0,0,4,3,0
3,4,2,2,0,3,3,0
3,4,2,2,0,4,3,0
3,4,2,2,0,3,3,0
3,4,2,1,0,3,2,0
3,4,1,1,0,3,2,0
3,4,0,1,0,3,2,0
3,4,0,2,0,4,3,0
3,4,0,1,0,3,2,0
3,4,1,2,0,3,2,0
3,4,1,1,0,3,2,0
3,4,0,0,0,4,3,0
3,4,0,1,0,3,2,0
3,4,2,1,0,3,2,0
3,4,0,2,0,4,3,0
3,4,1,1,0,3,2,0
3,4,2,2,0,3,3,0
4,8,2,0,24,4,13,-1168
4,8,3,0,0,4,15,0
4,8,0,1,24,4,13,-1168
4,8,0,0,0,4,15,0
4,8,0,1,24,4,13,-1168
4,8,1,0,24,4,13,-1168
4,8,3,2,24,3,13,-1168
4,8,1,2,0,5,15,0
4,8,1,0,24,4,13,-1168
4,8,3,2,24,4,13,-1168
4,8,1,1,0,4,15,0
4,8,0,1,24,4,13,-1168
4,8,2,1,0,4,15,0
4,8,2,3,24,4,13,-1168
4,8,0,0,0,4,15,0
4,8,0,3,0,4,15,0
4,8,3,1,24,4,13,-1168
4,8,0,2,24,5,13,-1168
4,8,2,3,24,5,13,-1168
4,8,1,1,0,4,15,0
5,12,4,1,39,6,31,1448
5,12,1,2,38,6,28,896
5,12,2,2,39,6,19,56
5,12,2,3,39,5,36,1896
5,12,1,2,38,5,28,896
5,12,4,4,39,5,25,944
5,12,3,4,39,5,49,3184
5,12,3,3,38,6,30,1280
5,12,0,1,39,6,31,1448
5,12,4,2,37,6,35,1840
5,12,2,0,39,5,28,1112
5,12,3,1,38,6,30,1280
5,12,0,1,39,7,31,1448
5,12,2,3,39,6,36,1896
5,12,2,3,39,6,36,1896
5,12,1,1,38,5,30,1280
5,12,0,0,39,5,25,944
5,12,2,0,39,6,28,1112
5,12,2,0,39,5,28,1112
5,12,1,1,38,6,30,1280
6,18,1,5,57,7,51,4736
6,18,1,4,58,7,38,2512
6,18,5,0,60,7,35,2400
6,18,1,0,55,7,42,3184
6,18,3,0,56,7,78,7496
6,18,2,5,58,7,52,4344
6,18,2,4,60,6,55,4848
6,18,0,3,59,7,50,3632
6,18,4,3,56,7,52,4624
6,18,2,4,60,7,55,4848
6,18,5,4,59,7,42,3560
6,18,5,2,61,6,43,3240
6,18,3,5,58,6,36,2680
6,18,2,1,59,7,62,5408
6,18,4,2,58,6,68,6072
6,18,0,4,59,8,73,6408
6,18,2,2,57,7,89,8144
6,18,5,5,60,7,35,2400
6,18,5,4,59,7,42,3560
6,18,3,3,58,6,50,4288
7,24,1,3,78,9,102,12576
7,24,6,3,78,9,117,13640
7,24,4,4,78,8,74,8224
7,24,0,1,77,7,53,5816
7,24,3,6,78,9,117,13584
7,24,2,2,77,8,75,8448
7,24,0,1,77,8,53,5816
7,24,3,6,78,8,117,13640
7,24,1,1,80,8,87,10336
7,24,6,2,77,7,75,8768
7,24,6,3,78,8,117,13584
7,24,4,6,76,8,70,7888
7,24,2,1,81,8,66,7616
7,24,4,2,82,8,104,11456
7,24,6,5,75,8,73,8880
7,24,4,3,77,12,152,19048
7,24,4,3,77,9,152,19040
7,24,5,1,80,8,76,9168
7,24,1,6,77,7,50,5456
7,24,3,4,74,8,84,9832
8,32,2,1,106,11,120,16800
8,32,1,5,106,9,144,18256
8,32,3,2,103,9,129,17816
8,32,4,3,107,9,201,28232
8,32,3,3,108,11,244,32320
8,32,5,5,109,9,84,10512
8,32,5,5,109,8,84,10504
8,32,2,4,106,11,151,21568
8,32,4,6,106,10,119,15288
8,32,1,6,107,9,121,15120
8,32,5,3,111,8,103,14672
8,32,3,7,105,9,98,12576
8,32,3,5,108,9,136,20120
8,32,7,6,105,9,154,20104
8,32,7,0,105,8,103,14448
8,32,3,7,105,8,98,12576
8,32,2,7,103,9,98,12520
8,32,3,1,105,11,216,29464
8,32,7,0,105,8,103,14448
8,32,7,5,104,8,88,11400
9,40,6,6,130,10,195,30536
9,40,7,7,131,9,118,16744
9,40,1,3,131,10,163,25208
9,40,8,8,131,10,426,63152
9,40,6,0,132,9,135,21064
9,40,8,1,130,10,155,23640
9,40,1,3,131,11,163,25208
9,40,7,7,131,10,118,16744
9,40,7,5,133,10,178,26944
9,40,8,7,133,10,188,28400
9,40,3,4,133,14,287,42688
9,40,3,7,131,10,201,31600
9,40,5,1,130,10,143,21680
9,40,8,3,135,11,297,43304
9,40,7,3,130,10,180,28680
9,40,8,5,133,10,196,31264
9,40,4,3,134,11,361,55312
9,40,4,7,130,10,138,19432
9,40,6,5,133,11,209,32272
9,40,5,1,130,10,143,21680
10,50,8,2,166,74,34836,4884640
10,50,6,3,167,181,109716,15517040
10,50,3,6,169,181,109681,15511152
10,50,7,2,165,10,229,38264
10,50,3,9,165,60,27314,3841704
10,50,2,4,167,12,583,97232
10,50,4,6,168,11,611,100864
10,50,0,6,169,61,27362,3848872
10,50,0,2,166,11,294,49376
10,50,5,9,169,12,572,93808
10,50,1,2,167,74,34707,4866096
10,50,8,9,169,11,435,73480
10,50,1,1,168,73,32918,4776776
10,50,7,4,165,10,175,29360
10,50,5,3,168,11,640,106488
10,50,9,9,167,75,35026,4956984
10,50,9,4,166,12,310,51168
