boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,0,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,1,0,0,3,2,0
2,4,1,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,0,0,0,4,2,0
2,4,0,0,0,4,2,0
2,4,0,1,0,3,2,0
2,4,0,0,0,3,2,0
2,4,0,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,1,0,0,4,2,0
2,4,1,1,0,3,2,0
2,4,1,1,0,3,2,0
2,4,0,1,0,4,2,0
2,4,1,1,0,4,2,0
2,4,0,1,0,3,2,0
2,4,0,0,0,3,2,0
2,4,1,1,0,4,2,0
2,4,0,0,0,3,2,0
3,9,0,2,0,18,3,0
3,9,2,1,0,3,2,0
3,9,1,2,0,3,2,0
3,9,1,1,0,3,2,0
3,9,1,1,0,3,2,0
3,9,0,0,0,20,3,0
3,9,0,1,0,3,2,0
3,9,0,1,0,3,2,0
3,9,0,2,0,18,3,0
3,9,0,2,0,22,3,0
3,9,1,0,0,3,2,0
3,9,1,2,0,3,2,0
3,9,0,0,0,18,3,0
3,9,0,0,0,18,3,0
3,9,0,2,0,19,3,0
3,9,1,1,0,4,2,0
3,9,0,2,0,18,3,0
3,9,2,1,0,4,2,0
3,9,1,0,0,3,2,0
3,9,1,2,0,3,2,0
4,16,1,2,0,21,15,0
4,16,1,1,0,20,15,0
4,16,1,0,0,19,16,0
4,16,2,1,0,19,15,0
4,16,0,3,0,18,15,0
4,16,0,2,0,19,16,0
4,16,2,1,0,18,15,0
4,16,3,0,0,18,15,0
4,16,3,1,0,21,16,0
4,16,0,1,0,19,16,0
4,16,0,3,0,18,15,0
4,16,3,2,0,18,16,0
4,16,2,3,0,18,16,0
4,16,1,1,0,18,15,0
4,16,3,1,0,19,16,0
4,16,2,1,0,18,15,0
4,16,1,2,0,19,15,0
4,16,1,2,0,19,15,0
4,16,3,3,0,19,15,0
4,16,3,0,0,19,15,0
5,25,2,4,80,47,37022,2220168
5,25,3,4,80,42,28473,1975672
5,25,2,1,80,41,26688,1759144
5,25,4,3,80,45,33871,2175312
5,25,0,1,80,43,29038,1995552
5,25,2,2,80,44,29531,1717088
5,25,2,2,80,56,29531,1717040
5,25,0,4,80,43,31128,2124016
5,25,4,3,80,45,33871,2175312
5,25,2,3,80,42,28499,1815656
5,25,4,4,80,42,29179,2048360
5,25,2,2,80,44,29531,1717040
5,25,3,2,80,42,27734,1795944
5,25,2,0,80,43,30476,1975424
5,25,0,0,80,44,31426,2149608
5,25,2,1,80,42,26688,1759144
5,25,4,4,80,43,29179,2048360
5,25,1,1,80,43,27894,1881176
5,25,4,4,80,44,29179,2048472
5,25,4,4,80,45,29179,2048360
6,36,5,0,113,7057,15108840,1118707880
6,36,1,0,113,11347,23887441,1671620840
6,36,0,0,113,6118,13168706,989309552
6,36,2,4,113,6789,14505484,1041410296
6,36,3,4,113,6498,13473111,979436360
6,36,4,5,113,6727,13718000,1041481600
6,36,3,3,113,4112,9088686,636707072
6,36,3,1,113,6912,15149894,1081596528
6,36,0,0,113,6238,13168706,989741440
6,36,2,4,113,6650,14505484,1040412712
6,36,4,2,113,6601,14429322,1037340168
6,36,0,1,113,6327,13627181,1034193944
6,36,3,4,113,6389,13473111,979830088
6,36,1,5,113,8794,18556448,1354938336
6,36,5,4,113,7406,15995349,1187878560
6,36,4,4,113,6734,13660389,1113080232
6,36,1,2,113,6543,14271821,1028720960
6,36,4,1,113,5877,12110961,995839376
6,36,2,2,113,4350,9131113,639705264
6,36,4,1,113,5911,12110961,996664416
