boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,1,0,0,3,2,0
2,4,1,1,0,4,2,0
2,4,1,0,0,4,2,0
2,4,0,0,0,3,2,0
2,4,0,0,0,3,2,0
2,4,0,0,0,3,2,0
2,4,0,1,0,4,2,0
2,4,0,0,0,3,2,0
2,4,0,0,0,5,2,0
2,4,0,1,0,3,2,0
2,4,0,1,0,4,2,0
2,4,0,0,0,3,2,0
2,4,0,0,0,4,2,0
2,4,1,1,0,3,2,0
2,4,0,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,1,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,0,0,0,3,2,0
2,4,0,0,0,3,2,0
3,9,2,0,0,18,3,0
3,9,1,2,0,3,2,0
3,9,1,0,0,4,2,0
3,9,2,2,0,18,3,0
3,9,0,2,0,18,3,0
3,9,0,1,0,3,2,0
3,9,0,2,0,18,3,0
3,9,2,0,0,18,3,0
3,9,2,2,0,19,3,0
3,9,0,1,0,3,2,0
3,9,1,1,0,3,2,0
3,9,1,2,0,4,2,0
3,9,0,0,0,18,3,0
3,9,2,1,0,3,2,0
3,9,0,1,0,3,2,0
3,9,2,0,0,20,3,0
3,9,1,2,0,3,2,0
3,9,0,2,0,20,3,0
3,9,1,1,0,3,2,0
3,9,2,1,0,3,2,0
4,16,2,3,0,19,16,0
4,16,1,1,0,18,15,0
4,16,1,2,0,19,15,0
4,16,0,2,0,19,16,0
4,16,0,1,0,18,16,0
4,16,0,1,0,19,16,0
4,16,0,0,0,19,15,0
4,16,2,1,0,19,15,0
4,16,1,3,0,19,16,0
4,16,3,1,0,19,16,0
4,16,3,2,0,21,16,0
4,16,2,0,0,19,16,0
4,16,1,2,0,19,15,0
4,16,0,3,0,19,15,0
4,16,1,3,0,19,16,0
4,16,3,2,0,27,16,0
4,16,1,0,0,19,16,0
4,16,1,2,0,18,15,0
4,16,1,0,0,19,16,0
4,16,2,3,0,18,16,0
5,25,1,1,86,23,609,120408
5,25,1,1,86,23,609,120408
5,25,3,4,85,23,284,119736
5,25,4,0,86,24,553,120128
5,25,3,2,84,20,48,119944
5,25,1,2,84,25,620,119960
5,25,4,3,85,25,532,119736
5,25,1,2,84,24,620,119960
5,25,3,0,85,22,317,119904
5,25,3,2,84,20,48,119944
5,25,2,2,84,23,357,119568
5,25,3,4,85,23,284,119656
5,25,1,1,86,24,609,120408
5,25,3,3,84,23,345,119680
5,25,3,2,84,21,48,119944
5,25,3,1,86,25,584,120408
5,25,2,1,85,22,225,120160
5,25,0,1,85,25,402,119624
5,25,3,0,85,22,317,119904
5,25,4,4,86,24,562,119848
6,36,4,1,123,264,1085046,123976
6,36,2,3,121,105,326494,124480
6,36,4,4,124,118,398130,123528
6,36,3,1,123,123,422178,123584
6,36,1,0,125,65,139770,123248
6,36,0,2,123,101,325081,123584
6,36,3,4,123,135,484161,122352
6,36,3,3,121,52,78839,122296
6,36,5,3,121,150,559718,122296
6,36,0,1,124,61,119593,122296
6,36,3,2,122,310,1373411,122072
6,36,3,4,123,136,484161,122352
6,36,2,3,121,102,326494,124480
6,36,0,3,121,392,1723747,123192
6,36,3,2,122,310,1373411,122072
6,36,3,3,121,53,78839,122296
6,36,5,4,122,70,158064,123360
6,36,2,1,123,88,239215,122128
6,36,1,5,124,38,27173,122680
6,36,4,2,123,110,358703,123248
7,49,2,6,168,2356,9608969,129008
7,49,0,4,166,8478,34857836,128048
7,49,5,3,167,14229,61443645,126368
7,49,5,2,167,19641,83737199,126592
