boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,0,1,0,4,2,0
2,4,0,0,0,4,2,0
2,4,1,0,0,4,2,0
2,4,0,0,0,5,2,0
2,4,0,0,0,3,2,0
2,4,1,0,0,8,2,0
2,4,1,1,0,4,2,0
2,4,0,0,0,4,2,0
2,4,0,0,0,4,2,0
2,4,0,0,0,4,2,0
3,9,0,2,0,35,3,0
3,9,0,0,0,17,3,0
3,9,2,1,0,4,2,0
3,9,1,2,0,8,2,0
3,9,0,2,0,18,3,0
3,9,2,2,0,17,3,0
3,9,0,1,0,4,2,0
3,9,2,1,0,5,2,0
3,9,0,2,0,18,3,0
3,9,1,1,0,9,2,0
4,16,1,1,0,25,15,0
4,16,0,3,0,18,15,0
4,16,0,3,0,19,15,0
4,16,3,3,0,20,15,0
4,16,1,0,0,17,16,0
4,16,3,0,0,17,15,0
4,16,0,3,0,16,15,0
4,16,1,1,0,17,15,0
4,16,3,0,0,26,15,0
4,16,0,3,0,29,15,0
5,25,0,1,80,41,29038,1995552
5,25,2,2,80,37,29531,1717040
5,25,2,2,80,38,29531,1717040
5,25,0,4,80,46,31128,2124016
5,25,3,1,80,37,28884,1911304
5,25,3,0,80,41,35502,2234728
5,25,0,3,80,39,30496,2043936
5,25,4,4,80,38,29179,2048472
5,25,1,3,80,38,31062,2010952
5,25,1,2,80,41,31423,1910632
6,36,4,1,113,5591,12110961,996895960
6,36,0,4,113,6153,13679248,1039854240
6,36,4,3,113,6206,13948528,1009036376
6,36,4,4,113,6819,13660389,1112949904
6,36,1,4,113,6230,12476427,1025924040
6,36,5,0,113,7275,15108840,1120264616
6,36,3,5,113,6723,14433599,1039087016
6,36,5,2,113,5764,12360399,909527344
6,36,3,1,113,6852,15149894,1082348480
6,36,1,3,113,6126,12515449,921357600
