boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,1,0,0,3,2,0
2,4,0,1,0,4,2,0
2,4,0,0,0,4,2,0
2,4,0,1,0,4,2,0
2,4,0,1,0,6,2,0
2,4,1,0,0,5,2,0
2,4,1,0,0,4,2,0
2,4,1,0,0,4,2,0
2,4,1,0,0,11,2,0
2,4,1,0,0,7,2,0
3,9,0,0,0,4,3,0
3,9,0,1,0,4,2,0
3,9,2,2,0,4,3,0
3,9,1,2,0,3,2,0
3,9,2,2,0,4,3,0
3,9,0,1,0,8,2,0
3,9,2,1,0,5,2,0
3,9,0,0,0,5,3,0
3,9,0,2,0,5,3,0
3,9,2,2,0,4,3,0
4,16,3,2,0,5,16,0
4,16,3,0,0,4,15,0
4,16,2,3,0,4,16,0
4,16,1,2,0,6,15,0
4,16,2,3,0,5,16,0
4,16,1,3,0,5,16,0
4,16,1,0,0,5,16,0
4,16,3,1,0,5,16,0
4,16,0,2,0,5,16,0
4,16,1,3,0,5,16,0
5,25,3,1,80,71,93851,732528
5,25,4,4,80,85,101590,997576
5,25,3,1,80,82,93851,732528
5,25,0,1,80,85,96783,763832
5,25,1,2,80,87,87587,604008
5,25,2,3,80,80,87603,598184
5,25,4,1,80,77,96778,765400
5,25,0,2,80,81,96606,767248
5,25,1,0,80,84,96802,760920
5,25,3,4,80,79,96815,762600
