boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,0,1,0,4,2,0
2,4,1,1,0,4,2,0
2,4,1,1,0,5,2,0
2,4,1,1,0,4,2,0
2,4,1,0,0,5,2,0
2,4,1,1,0,4,2,0
2,4,0,0,0,4,2,0
2,4,0,0,0,4,2,0
2,4,1,1,0,5,2,0
2,4,1,1,0,4,2,0
3,9,2,2,0,19,3,0
3,9,0,1,0,5,2,0
3,9,2,1,0,5,2,0
3,9,2,1,0,5,2,0
3,9,2,2,0,19,3,0
3,9,2,2,0,18,3,0
3,9,0,1,0,4,2,0
3,9,2,0,0,20,3,0
3,9,1,1,0,3,2,0
3,9,0,1,0,4,2,0
4,16,1,3,0,18,16,0
4,16,3,0,0,24,15,0
4,16,3,1,0,18,16,0
4,16,2,1,0,20,15,0
4,16,0,1,0,19,16,0
4,16,0,1,0,25,16,0
4,16,1,0,0,23,16,0
4,16,1,1,0,23,15,0
4,16,2,0,0,22,16,0
4,16,0,2,0,22,16,0
5,25,2,0,86,22,71,120168
5,25,4,0,86,21,553,120080
5,25,0,0,86,25,506,119856
5,25,1,3,86,21,519,120080
5,25,1,0,85,21,119,119216
5,25,4,2,86,20,56,120056
5,25,0,1,85,20,402,119576
5,25,3,2,84,20,48,120056
5,25,4,2,86,20,56,119944
5,25,4,0,86,22,553,120080
6,36,4,4,124,121,398130,123480
6,36,3,2,122,319,1373411,122072
6,36,2,1,123,88,239215,122192
6,36,4,2,123,112,358703,123312
6,36,0,5,125,21,109,123512
6,36,1,3,122,1823,8744306,122136
6,36,0,4,122,64,134567,123312
6,36,1,3,122,1736,8744306,122184
6,36,2,5,123,119,380913,123032
6,36,3,4,123,132,484161,122304
7,49,0,4,166,8779,34857836,128160
7,49,5,3,167,15090,61443645,126432
7,49,4,0,168,2401,9274570,128168
7,49,0,0,167,17088,68187273,127328
7,49,5,0,169,29432,118038379,127272
