boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,0,1,0,3,2,0
2,4,1,1,0,6,2,0
2,4,0,0,0,4,2,0
2,4,0,0,0,4,2,0
2,4,1,1,0,4,2,0
2,4,0,0,0,3,2,0
2,4,1,1,0,8,2,0
2,4,0,1,0,4,2,0
2,4,1,1,0,4,2,0
2,4,0,0,0,4,2,0
3,9,2,2,0,24,3,0
3,9,1,0,0,7,2,0
3,9,0,2,0,29,3,0
3,9,2,2,0,18,3,0
3,9,2,0,0,18,3,0
3,9,0,1,0,9,2,0
3,9,0,0,0,18,3,0
3,9,0,0,0,24,3,0
3,9,2,1,0,4,2,0
3,9,1,1,0,4,2,0
4,16,1,0,0,17,16,0
4,16,2,3,0,18,16,0
4,16,2,3,0,19,16,0
4,16,1,1,0,48,15,0
4,16,3,1,0,22,16,0
4,16,2,2,0,31,15,0
4,16,2,0,0,19,16,0
4,16,2,3,0,18,16,0
4,16,2,0,0,19,16,0
4,16,0,1,0,18,16,0
5,25,3,0,80,19,25,118272
5,25,0,3,80,17,25,118160
5,25,1,2,80,19,108,118216
5,25,1,1,80,21,25,118272
5,25,1,2,80,19,108,118216
5,25,0,1,81,22,635,118352
5,25,2,4,82,20,239,118184
5,25,2,2,80,27,25,118272
5,25,4,2,80,19,25,118272
5,25,3,0,80,38,25,118272
6,36,0,2,115,116,213234,119632
6,36,5,1,115,43,43833,120016
6,36,5,3,113,57,86261,119912
6,36,3,2,116,112,305761,119960
6,36,0,2,115,91,213234,119792
6,36,3,3,116,215,724083,119744
6,36,1,2,115,51,62887,119464
6,36,1,5,115,24,3783,119968
6,36,4,3,115,58,96048,119736
6,36,0,3,113,59,85524,119968
7,49,5,5,153,1190,4413758,122136
7,49,5,4,156,58,68424,122192
7,49,3,2,156,29175,101216716,121912
7,49,5,2,156,59,50804,122136
7,49,6,6,157,116,280472,121968
7,49,3,1,158,6035,22685056,121904
7,49,2,0,153,1690,6226282,122464
7,49,5,0,153,4264,16054683,122192
8,64,4,0,205,27032,77565977,124096
8,64,3,4,198,58,13024,124984
