boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,1,0,0,3,2,0
2,4,1,1,0,5,2,0
2,4,1,1,0,9,2,0
2,4,0,1,0,4,2,0
2,4,1,0,0,9,2,0
2,4,0,1,0,3,2,0
2,4,0,1,0,5,2,0
2,4,1,1,0,6,2,0
2,4,1,1,0,4,2,0
2,4,0,1,0,5,2,0
3,9,0,1,0,4,2,0
3,9,0,0,0,5,3,0
3,9,0,2,0,6,3,0
3,9,1,2,0,4,2,0
3,9,2,1,0,4,2,0
3,9,1,0,0,7,2,0
3,9,0,0,0,4,3,0
3,9,2,1,0,5,2,0
3,9,1,0,0,4,2,0
3,9,2,0,0,4,3,0
4,16,1,3,0,5,16,0
4,16,0,0,0,5,15,0
4,16,3,0,0,5,15,0
4,16,2,3,0,5,16,0
4,16,3,2,0,5,16,0
4,16,0,1,0,5,16,0
4,16,3,0,0,5,15,0
4,16,3,1,0,5,16,0
4,16,3,2,0,5,16,0
4,16,2,1,0,5,15,0
5,25,1,1,84,7,79,5800
5,25,0,3,85,9,363,22384
5,25,0,1,85,8,329,18744
5,25,4,0,85,7,205,13720
5,25,2,2,83,11,383,25768
5,25,1,2,83,7,286,16728
5,25,2,4,86,10,362,24032
5,25,4,4,84,9,430,24872
5,25,1,4,85,8,279,20872
5,25,2,0,83,8,233,14600
6,36,0,3,119,13,2703,100680
6,36,5,2,123,9,250,10528
6,36,0,1,119,12,2742,93904
6,36,5,1,121,10,176,14928
6,36,2,4,123,11,1823,72152
6,36,2,5,121,12,2885,83144
6,36,5,2,123,10,250,10528
6,36,5,0,117,11,2094,68176
6,36,0,4,119,11,2391,67672
6,36,5,5,119,10,425,20280
7,49,0,4,166,11,1707,54120
7,49,2,1,166,136,188714,574800
7,49,0,0,161,34,27754,133064
7,49,3,2,158,10,247,30088
7,49,6,4,162,16,6208,52488
7,49,5,5,165,139,186084,776024
7,49,5,2,163,28,19497,176536
7,49,2,5,163,27,19497,176536
7,49,2,6,162,11,1767,62040
7,49,1,6,162,11,331,15184
8,64,7,2,213,2380,3521900,4570008
8,64,5,7,211,107,111264,304272
8,64,2,4,213,100,116874,235728
8,64,1,0,218,634,804545,1649080
8,64,6,6,214,687,792250,2913288
8,64,5,3,219,2168,2878363,7501904
8,64,2,7,215,13886,19582705,14369824
8,64,2,7,215,13018,19582705,14369568
9,81,2,2,277,403,431928,977224
9,81,7,4,271,5134,6222141,12739288
9,81,4,4,274,7910,9660556,9760784
9,81,3,5,270,889,990581,2793616
9,81,2,8,266,94,83806,262608
9,81,0,0,271,24,10152,120240
9,81,6,2,272,189,205925,412064
9,81,0,8,273,630,682600,1807168
9,81,0,5,277,1990,2434015,8375736
