boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,0,1,0,3,2,0
2,4,0,0,0,3,2,0
2,4,1,0,0,4,2,0
2,4,1,1,0,3,2,0
2,4,0,0,0,4,2,0
2,4,1,1,0,4,2,0
2,4,1,0,0,4,2,0
2,4,1,1,0,5,2,0
2,4,1,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,1,0,0,3,2,0
2,4,0,0,0,3,2,0
2,4,0,0,0,4,2,0
2,4,1,0,0,3,2,0
2,4,0,1,0,4,2,0
2,4,0,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,1,1,0,3,2,0
2,4,0,0,0,3,2,0
2,4,1,0,0,4,2,0
3,9,0,2,0,26,3,0
3,9,1,1,0,3,2,0
3,9,1,0,0,4,2,0
3,9,2,0,0,19,3,0
3,9,0,1,0,4,2,0
3,9,2,2,0,18,3,0
3,9,1,0,0,3,2,0
3,9,2,2,0,19,3,0
3,9,1,2,0,3,2,0
3,9,2,1,0,4,2,0
3,9,2,0,0,19,3,0
3,9,0,1,0,4,2,0
3,9,2,0,0,19,3,0
3,9,0,1,0,3,2,0
3,9,2,2,0,18,3,0
3,9,0,2,0,18,3,0
3,9,0,1,0,3,2,0
3,9,1,2,0,3,2,0
3,9,2,1,0,3,2,0
3,9,2,2,0,18,3,0
4,16,1,1,0,18,15,0
4,16,3,3,0,21,15,0
4,16,1,2,0,18,15,0
4,16,0,2,0,19,16,0
4,16,2,3,0,19,16,0
4,16,1,3,0,19,16,0
4,16,2,3,0,19,16,0
4,16,2,0,0,19,16,0
4,16,0,3,0,21,15,0
4,16,1,2,0,18,15,0
4,16,3,0,0,18,15,0
4,16,3,1,0,19,16,0
4,16,0,1,0,19,16,0
4,16,3,1,0,18,16,0
4,16,2,1,0,18,15,0
4,16,3,0,0,19,15,0
4,16,0,2,0,19,16,0
4,16,2,2,0,19,15,0
4,16,2,3,0,18,16,0
4,16,1,2,0,19,15,0
5,25,0,0,80,43,31426,2149608
5,25,2,1,80,40,26688,1759096
5,25,3,3,80,43,28925,1938264
5,25,1,0,80,47,39482,2375568
5,25,0,0,80,44,31426,2149608
5,25,4,4,80,43,29179,2048360
5,25,4,4,80,44,29179,2048360
5,25,1,3,80,44,31062,2010840
5,25,0,1,80,43,29038,1995664
5,25,1,2,80,42,31423,1910632
5,25,0,4,80,44,31128,2124016
5,25,2,3,80,54,28499,1815656
5,25,2,4,80,47,37022,2220216
5,25,3,2,80,41,27734,1795944
5,25,4,2,80,42,27921,1886104
5,25,1,1,80,42,27894,1881176
5,25,3,0,80,47,35502,2234728
5,25,3,3,80,49,28925,1938264
5,25,3,1,80,42,28884,1911304
5,25,4,3,80,45,33871,2175312
6,36,4,4,113,6548,13660389,1112984904
6,36,5,3,113,5865,12349396,908014848
6,36,3,2,113,4351,9207297,643365576
6,36,3,5,113,6673,14433599,1038849024
6,36,5,4,113,7582,15995349,1188149200
6,36,0,2,113,7278,15556060,1116434488
6,36,0,1,113,6550,13627181,1035769456
6,36,3,4,113,6216,13473111,978566312
6,36,3,4,113,6269,13473111,980036896
6,36,5,1,113,6721,14050777,1064647328
6,36,3,5,113,6916,14433599,1038211952
6,36,3,3,113,4253,9088686,636455416
6,36,2,3,113,4271,9087020,636421448
6,36,0,4,113,6735,13679248,1039643680
6,36,1,5,113,8635,18556448,1355330112
6,36,5,2,113,5844,12360399,908946608
6,36,4,4,113,6739,13660389,1111482080
6,36,1,3,113,5996,12515449,920902448
6,36,3,3,113,4195,9088686,636494144
6,36,1,4,113,6066,12476427,1024361584
