boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,1,0,0,4,2,0
2,4,0,1,0,4,2,0
2,4,1,0,0,3,2,0
2,4,0,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,0,0,0,3,2,0
2,4,0,0,0,3,2,0
2,4,0,0,0,4,2,0
2,4,1,1,0,3,2,0
2,4,1,1,0,4,2,0
2,4,0,0,0,3,2,0
2,4,1,0,0,3,2,0
2,4,0,1,0,3,2,0
2,4,1,1,0,3,2,0
2,4,1,1,0,4,2,0
2,4,0,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,1,0,0,3,2,0
2,4,1,0,0,4,2,0
2,4,0,0,0,4,2,0
3,9,2,2,0,18,3,0
3,9,0,0,0,18,3,0
3,9,0,1,0,3,2,0
3,9,1,1,0,4,2,0
3,9,2,0,0,18,3,0
3,9,0,2,0,18,3,0
3,9,1,1,0,3,2,0
3,9,1,1,0,3,2,0
3,9,1,1,0,3,2,0
3,9,2,2,0,18,3,0
3,9,1,0,0,4,2,0
3,9,0,1,0,4,2,0
3,9,1,1,0,3,2,0
3,9,0,0,0,19,3,0
3,9,0,0,0,26,3,0
3,9,0,1,0,3,2,0
3,9,0,1,0,3,2,0
3,9,1,1,0,3,2,0
3,9,1,1,0,3,2,0
3,9,2,1,0,3,2,0
4,16,2,2,0,20,15,0
4,16,1,3,0,20,16,0
4,16,1,0,0,19,16,0
4,16,3,0,0,18,15,0
4,16,3,3,0,21,15,0
4,16,0,0,0,19,15,0
4,16,3,1,0,19,16,0
4,16,2,1,0,21,15,0
4,16,1,1,0,25,15,0
4,16,2,3,0,19,16,0
4,16,3,0,0,18,15,0
4,16,2,3,0,19,16,0
4,16,2,2,0,18,15,0
4,16,2,3,0,19,16,0
4,16,0,0,0,19,15,0
4,16,2,2,0,19,15,0
4,16,0,0,0,18,15,0
4,16,1,1,0,18,15,0
4,16,3,1,0,20,16,0
4,16,3,1,0,18,16,0
5,25,4,1,85,23,358,120016
5,25,4,3,85,24,532,119736
5,25,1,2,84,25,620,119960
5,25,0,1,85,23,402,119624
5,25,0,3,85,23,448,120296
5,25,4,0,86,24,553,120240
5,25,4,3,85,24,532,119736
5,25,4,0,86,23,553,120128
5,25,3,1,86,24,584,120408
5,25,1,4,85,23,321,119512
5,25,3,0,85,24,317,119904
5,25,3,1,86,23,584,120408
5,25,0,2,86,21,56,120056
5,25,4,1,85,22,358,120016
5,25,4,4,86,23,562,119848
5,25,0,3,85,23,448,120296
5,25,1,4,85,24,321,119512
5,25,1,3,86,24,519,120128
5,25,2,3,85,23,270,120072
5,25,3,2,84,19,48,119944
6,36,0,1,124,58,119593,122184
6,36,3,4,123,135,484161,122352
6,36,4,4,124,120,398130,123528
6,36,4,2,123,109,358703,123248
6,36,1,1,122,94,265275,123640
6,36,5,3,121,162,559718,122296
6,36,2,3,121,105,326494,124480
6,36,5,0,124,44,18936,123416
6,36,3,0,123,126,378159,123584
6,36,5,2,123,87,246742,123192
6,36,1,2,123,88,247230,122800
6,36,5,4,122,69,158064,123360
6,36,4,0,124,50,60654,123360
6,36,4,2,123,110,358703,123248
6,36,4,4,124,117,398130,123528
6,36,2,1,123,89,239215,122128
6,36,2,3,121,103,326494,124480
6,36,4,0,124,49,60654,123360
6,36,3,5,123,97,295129,123640
6,36,2,5,123,122,380913,122968
