boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,1,0,0,5,2,0
2,4,0,1,0,4,2,0
2,4,0,1,0,3,2,0
2,4,0,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,0,0,5,2,0
2,4,0,1,0,3,2,0
2,4,1,0,0,3,2,0
2,4,1,0,0,3,2,0
2,4,0,1,0,4,2,0
2,4,1,0,0,4,2,0
2,4,0,1,0,3,2,0
2,4,1,0,0,3,2,0
2,4,0,0,0,3,2,0
2,4,0,0,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,0,0,3,2,0
3,9,1,1,0,4,2,0
3,9,1,0,0,3,2,0
3,9,0,1,0,4,2,0
3,9,2,1,0,3,2,0
3,9,2,1,0,4,2,0
3,9,0,2,0,19,3,0
3,9,1,1,0,3,2,0
3,9,0,2,0,18,3,0
3,9,2,2,0,18,3,0
3,9,0,1,0,3,2,0
3,9,0,0,0,18,3,0
3,9,2,0,0,18,3,0
3,9,0,2,0,19,3,0
3,9,0,1,0,4,2,0
3,9,1,1,0,5,2,0
3,9,1,2,0,4,2,0
3,9,0,0,0,19,3,0
3,9,0,0,0,18,3,0
3,9,0,0,0,19,3,0
3,9,1,1,0,3,2,0
4,16,3,2,0,26,16,0
4,16,1,1,0,19,15,0
4,16,1,3,0,19,16,0
4,16,0,1,0,19,16,0
4,16,3,1,0,19,16,0
4,16,0,0,0,19,15,0
4,16,0,0,0,19,15,0
4,16,3,3,0,18,15,0
4,16,2,0,0,19,16,0
4,16,3,0,0,18,15,0
4,16,2,3,0,19,16,0
4,16,1,0,0,18,16,0
4,16,1,3,0,19,16,0
4,16,0,3,0,19,15,0
4,16,1,3,0,19,16,0
4,16,0,1,0,18,16,0
4,16,2,3,0,19,16,0
4,16,2,0,0,19,16,0
4,16,1,0,0,18,16,0
4,16,1,0,0,19,16,0
5,25,4,2,80,20,25,118160
5,25,1,0,80,23,25,118272
5,25,2,4,82,23,239,118232
5,25,1,2,80,22,108,118216
5,25,2,2,80,20,25,118160
5,25,3,4,80,20,25,118160
5,25,2,2,80,20,25,118160
5,25,4,0,81,23,302,118400
5,25,1,3,80,20,25,118160
5,25,3,0,80,19,25,118160
5,25,4,3,81,24,590,118288
5,25,2,3,80,20,25,118160
5,25,4,3,81,24,590,118400
5,25,0,1,81,24,635,118288
5,25,0,0,80,21,25,118160
5,25,3,3,80,21,52,118104
5,25,4,0,81,30,302,118240
5,25,3,0,80,20,25,118160
5,25,2,0,82,22,212,118352
5,25,0,4,80,19,25,118160
6,36,3,4,114,41,21058,120064
6,36,0,2,115,97,213234,119680
6,36,3,1,114,40,21327,120176
6,36,0,0,114,25,626,120072
6,36,4,5,114,26,1662,120072
6,36,0,5,115,26,858,119904
6,36,5,5,113,27,503,120128
6,36,0,2,115,88,213234,119680
6,36,4,5,114,27,1662,120184
6,36,4,2,115,51,56393,119680
6,36,5,1,115,45,43833,120064
6,36,3,3,116,207,724083,119680
6,36,3,3,116,204,724083,119792
6,36,1,5,115,27,3783,119904
6,36,4,1,117,80,165359,119736
6,36,3,0,115,29,5070,120072
6,36,2,3,114,149,465454,119792
6,36,0,1,117,63,99551,119848
6,36,0,3,113,58,85524,120016
6,36,4,3,115,63,96048,119624
7,49,3,0,155,824,2888649,121960
7,49,5,3,155,15275,53968336,122184
7,49,4,5,156,390,1263051,122128
7,49,0,0,157,169,463273,121904
7,49,0,5,156,29037,101216716,121960
7,49,5,3,155,15258,53968336,122184
7,49,5,0,153,4318,16054683,122128
7,49,3,2,156,29030,101216716,121960
7,49,5,6,155,377,1247815,122072
