boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,1,0,0,4,2,0
2,4,0,1,0,3,2,0
2,4,1,0,0,4,2,0
2,4,1,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,1,0,0,3,2,0
2,4,1,1,0,4,2,0
2,4,1,0,0,4,2,0
2,4,0,0,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,0,0,4,2,0
2,4,0,1,0,3,2,0
2,4,0,1,0,4,2,0
2,4,0,1,0,4,2,0
2,4,1,0,0,3,2,0
2,4,1,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,1,1,0,4,2,0
2,4,1,0,0,4,2,0
2,4,1,0,0,4,2,0
3,9,0,2,0,3,3,0
3,9,0,2,0,4,3,0
3,9,0,0,0,3,3,0
3,9,0,2,0,3,3,0
3,9,0,0,0,4,3,0
3,9,1,2,0,3,2,0
3,9,1,0,0,3,2,0
3,9,0,1,0,3,2,0
3,9,1,2,0,3,2,0
3,9,2,0,0,4,3,0
3,9,1,0,0,4,2,0
3,9,2,2,0,3,3,0
3,9,1,2,0,4,2,0
3,9,2,0,0,4,3,0
3,9,1,0,0,3,2,0
3,9,2,1,0,3,2,0
3,9,1,2,0,5,2,0
3,9,1,1,0,3,2,0
3,9,2,2,0,5,3,0
3,9,0,0,0,4,3,0
4,16,1,3,0,5,16,0
4,16,0,1,0,4,16,0
4,16,0,1,0,4,16,0
4,16,1,0,0,5,16,0
4,16,3,2,0,4,16,0
4,16,0,0,0,5,15,0
4,16,0,1,0,5,16,0
4,16,3,2,0,4,16,0
4,16,2,1,0,4,15,0
4,16,1,2,0,4,15,0
4,16,1,1,0,4,15,0
4,16,1,3,0,4,16,0
4,16,1,3,0,5,16,0
4,16,0,2,0,5,16,0
4,16,1,2,0,4,15,0
4,16,2,0,0,4,16,0
4,16,2,3,0,5,16,0
4,16,0,0,0,4,15,0
4,16,2,1,0,5,15,0
4,16,0,3,0,4,15,0
5,25,4,2,85,11,595,30416
5,25,2,1,83,11,916,41224
5,25,3,2,85,8,207,13664
5,25,3,2,85,8,207,13664
5,25,4,3,84,11,890,36240
5,25,4,4,84,13,430,24920
5,25,2,4,86,9,362,24032
5,25,2,4,86,9,362,24032
5,25,2,3,85,9,206,12768
5,25,4,2,85,11,595,30416
5,25,2,2,83,10,383,25816
5,25,0,0,85,8,143,10576
5,25,2,0,83,8,233,14648
5,25,4,4,84,9,430,24920
5,25,4,1,85,8,193,11080
5,25,3,1,84,10,343,20416
5,25,2,0,83,8,233,14648
5,25,3,2,85,8,207,13664
5,25,2,3,85,9,206,12768
5,25,0,1,85,10,329,18792
6,36,2,1,117,14,3347,75784
6,36,5,4,116,14,3741,100840
6,36,1,1,115,12,1327,56968
6,36,3,5,120,8,82,7168
6,36,0,2,120,11,581,28504
6,36,1,2,123,7,82,7104
6,36,3,3,116,9,209,17840
6,36,4,4,117,10,444,20832
6,36,4,3,119,10,343,21672
6,36,0,4,119,12,2391,67720
6,36,0,5,121,10,375,23128
6,36,3,1,121,14,3466,73208
6,36,0,0,116,8,127,11248
6,36,0,4,119,13,2391,67720
6,36,0,2,120,10,581,28504
6,36,3,3,116,9,209,17840
6,36,0,4,119,13,2391,67720
6,36,4,2,123,15,4806,37584
6,36,4,3,119,11,343,21672
6,36,0,0,116,8,127,11248
7,49,3,3,168,23,13898,176480
7,49,0,0,161,33,27754,133112
7,49,3,6,166,667,1050391,1754800
7,49,3,4,160,13,2654,53272
7,49,0,5,159,12,154,17144
7,49,3,4,160,13,2654,53272
7,49,3,3,168,23,13898,176480
7,49,2,6,162,12,1767,62088
7,49,1,0,159,11,724,19544
7,49,4,1,164,101,133402,420960
7,49,1,0,159,11,724,19544
7,49,6,4,162,17,6208,52488
7,49,3,2,158,10,247,30136
7,49,6,0,161,13,2132,72112
7,49,2,3,160,39,33723,170368
7,49,4,5,159,387,572575,2041576
7,49,1,6,162,11,331,15232
7,49,3,0,164,1239,1989282,2647560
7,49,2,5,163,28,19497,176584
7,49,4,2,162,83,102413,495496
8,64,4,1,214,5714,7711359,16093104
8,64,0,0,211,10,256,32208
8,64,4,1,214,5939,7711359,16084256
8,64,6,6,214,652,792250,2913336
8,64,4,5,215,5348,7539774,11034552
8,64,1,0,218,636,804545,1649128
8,64,1,5,217,2908,3924939,9463048
8,64,5,4,212,1107,1488393,2812200
8,64,0,7,213,4955,6418461,12165104
8,64,6,1,219,277,342450,1454472
8,64,4,2,213,1088,1428340,5356168
