boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
1,0,0,0,-1,0,0,0,0
2,2,0,0,0,4,2,0,0
3,4,0,0,0,16,3,0,0
4,8,0,0,0,26,15,0,0
5,12,0,0,36,18,12,12,117440
6,18,0,0,55,18,18,18,118888
7,24,0,0,73,18,25,24,120600
8,32,0,0,97,25,32,32,122216
9,40,0,0,121,20,40,40,124536
10,50,0,0,151,20,51,50,128328
11,60,0,0,183,29,60,60,129896
12,72,0,0,218,29,73,72,134552
13,84,0,0,254,27,84,84,137776
14,98,0,0,296,24,98,98,142768
15,112,0,0,337,30,112,112,146144
16,128,0,0,386,21,129,128,153040
17,144,0,0,436,26,144,144,153856
18,162,0,0,488,23,163,162,161344
19,180,0,0,542,34,180,180,167880
20,200,0,0,603,25,200,200,170776
21,220,0,0,661,26,220,220,179208
22,242,0,0,728,29,243,242,190728
23,264,0,0,796,31,271,264,190616
24,288,0,0,866,30,289,288,200424
25,312,0,0,938,23,312,312,209176
26,338,0,0,1019,26,338,338,212744
27,364,0,0,1093,25,364,364,225616
28,392,0,0,1178,25,393,392,240144
29,420,0,0,1264,37,429,420,239760
30,450,0,0,1352,26,451,450,250800
31,480,0,0,1442,26,480,480,263136
32,512,0,0,1542,25,512,512,262352
33,544,0,0,1633,32,544,544,282656
34,578,0,0,1736,34,579,578,302688
35,612,0,0,1840,28,623,612,299840
36,648,0,0,1946,28,649,648,313520
37,684,0,0,2054,27,684,684,329904
38,722,0,0,2172,32,722,722,327152
39,760,0,0,2281,28,760,760,352832
40,800,0,0,2402,32,801,800,378944
41,840,0,0,2525,32,853,840,373200
42,882,0,0,2648,29,883,882,389376
43,924,0,0,2774,33,924,924,410352
44,968,0,0,2910,34,968,968,406384
45,1012,0,0,3037,33,1012,1012,429040
46,1058,0,0,3176,41,1059,1058,469816
47,1104,0,0,3317,34,1119,1104,460584
48,1152,0,0,3458,42,1153,1152,478952
49,1200,0,0,3602,52,1200,1200,505016
50,1250,0,0,3756,40,1250,1250,499496
51,1300,0,0,3901,38,1300,1300,524344
52,1352,0,0,4058,40,1353,1352,565096
53,1404,0,0,4217,45,1421,1404,551272
54,1458,0,0,4376,44,1459,1458,572072
55,1512,0,0,4538,45,1512,1512,603768
56,1568,0,0,4710,60,1568,1568,596408
57,1624,0,0,4873,52,1624,1624,634776
58,1682,0,0,5048,54,1683,1682,683992
59,1740,0,0,5225,52,1759,1740,664920
60,1800,0,0,5402,56,1801,1800,687912
61,1860,0,0,5582,53,1860,1860,725992
62,1922,0,0,5772,59,1922,1922,716456
63,1984,0,0,5953,57,1984,1984,744760
64,2048,0,0,6146,62,2049,2048,803224
65,2112,0,0,6341,62,2133,2112,777976
66,2178,0,0,6536,61,2179,2178,803560
67,2244,0,0,6734,82,2244,2244,848408
68,2312,0,0,6942,67,2312,2312,836456
69,2380,0,0,7141,71,2380,2380,883624
70,2450,0,0,7352,75,2451,2450,952040
71,2520,0,0,7565,80,2543,2520,920168
72,2592,0,0,7778,74,2593,2592,948008
73,2664,0,0,7994,86,2664,2664,999928
74,2738,0,0,8220,84,2738,2738,984760
75,2812,0,0,8437,91,2812,2812,1016184
76,2888,0,0,8666,97,2889,2888,1095336
77,2964,0,0,8897,97,2989,2964,1055800
78,3042,0,0,9128,97,3043,3042,1086184
79,3120,0,0,9362,100,3120,3120,1145784
80,3200,0,0,9607,106,3200,3200,1126776
81,3280,0,0,9841,103,3280,3280,1159864
82,3362,0,0,10088,110,3363,3362,1276992
83,3444,0,0,10337,118,3471,3444,1202920
84,3528,0,0,10586,119,3529,3528,1235384
85,3612,0,0,10838,123,3612,3612,1329856
86,3698,0,0,11101,131,3698,3698,1306944
87,3784,0,0,11353,127,3784,3784,1341504
88,3872,0,0,11618,145,3873,3872,1444240
89,3960,0,0,11885,144,3989,3960,1387520
90,4050,0,0,12152,150,4051,4050,1422416
91,4140,0,0,12422,150,4140,4140,1499264
92,4232,0,0,12703,156,4232,4232,1470976
93,4324,0,0,12973,160,4324,4324,1507712
94,4418,0,0,13256,177,4419,4418,1623744
95,4512,0,0,13541,169,4543,4512,1557056
96,4608,0,0,13826,168,4609,4608,1594256
97,4704,0,0,14114,185,4704,4704,1680336
98,4802,0,0,14413,204,4802,4802,1646160
99,4900,0,0,14701,194,4900,4900,1685328
100,5000,0,0,15002,212,5001,5000,1854664
