boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
1,0,0,0,-1,0,0,0,0
2,2,0,0,0,3,2,0,0
3,4,0,0,0,3,3,0,0
4,8,0,0,0,6,15,0,0
5,12,0,0,39,5,25,12,1328
6,18,0,0,56,7,52,18,5504
7,24,0,0,80,8,90,24,12352
8,32,0,0,104,8,93,32,15096
9,40,0,0,132,9,174,40,29440
10,50,0,0,170,81,34946,50,5613032
11,60,0,0,198,11,747,60,147704
12,72,0,0,239,12,693,72,147512
13,84,0,0,276,105,31135,84,6487848
14,98,0,0,328,23,3543,98,763056
15,112,0,0,372,33,4902,112,1102784
16,128,0,0,421,134,28708,128,6585040
17,144,0,0,461,157,28927,144,6666512
18,162,0,0,542,88,13241,162,3126672
19,180,0,0,583,333,58196,180,13639872
21,220,0,0,714,1253,151862,220,36354392
22,242,0,0,793,764,105009,242,25414872
24,288,0,0,949,1745,163540,288,39558712
25,312,0,0,1009,955,104652,312,25566360
27,364,0,0,1164,3090,223081,364,56210600
28,392,0,0,1268,3057,210960,392,53922080
30,450,0,0,1451,312,25826,450,6518464
31,480,0,0,1535,24709,1664567,480,419398904
