boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
2,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
3,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
4,8.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0
5,12.0,0.0,0.0,39.0,5.0,25.0,12.0,1328.0
6,18.0,0.0,0.0,56.0,7.0,52.0,18.0,5504.0
7,24.0,0.0,0.0,80.0,8.0,90.0,24.0,12352.0
8,32.0,0.0,0.0,104.0,8.0,93.0,32.0,15096.0
9,40.0,0.0,0.0,132.0,9.0,174.0,40.0,29440.0
10,50.0,0.0,0.0,170.0,81.0,34946.0,50.0,5613032.0
11,60.0,0.0,0.0,198.0,11.0,747.0,60.0,147704.0
12,72.0,0.0,0.0,239.0,12.0,693.0,72.0,147512.0
13,84.0,0.0,0.0,276.0,105.0,31135.0,84.0,6487848.0
14,98.0,0.0,0.0,328.0,23.0,3543.0,98.0,763056.0
15,112.0,0.0,0.0,372.0,33.0,4902.0,112.0,1102784.0
16,128.0,0.0,0.0,421.0,134.0,28708.0,128.0,6585040.0
17,144.0,0.0,0.0,461.0,157.0,28927.0,144.0,6666512.0
18,162.0,0.0,0.0,542.0,88.0,13241.0,162.0,3126672.0
19,180.0,0.0,0.0,583.0,333.0,58196.0,180.0,13639872.0
21,220.0,0.0,0.0,714.0,1253.0,151862.0,220.0,36354392.0
22,242.0,0.0,0.0,793.0,764.0,105009.0,242.0,25414872.0
24,288.0,0.0,0.0,949.0,1745.0,163540.0,288.0,39558712.0
25,312.0,0.0,0.0,1009.0,955.0,104652.0,312.0,25566360.0
27,364.0,0.0,0.0,1164.0,3090.0,223081.0,364.0,56210600.0
28,392.0,0.0,0.0,1268.0,3057.0,210960.0,392.0,53922080.0
30,450.0,0.0,0.0,1451.0,312.0,25826.0,450.0,6518464.0
31,480.0,0.0,0.0,1535.0,24709.0,1664567.0,480.0,419398904.0
