boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
2,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
3,4.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0
4,8.0,0.0,0.0,0.0,26.0,15.0,0.0,0.0
5,12.0,0.0,0.0,36.0,18.0,12.0,12.0,117440.0
6,18.0,0.0,0.0,55.0,18.0,18.0,18.0,118888.0
7,24.0,0.0,0.0,73.0,18.0,25.0,24.0,120600.0
8,32.0,0.0,0.0,97.0,25.0,32.0,32.0,122216.0
9,40.0,0.0,0.0,121.0,20.0,40.0,40.0,124536.0
10,50.0,0.0,0.0,151.0,20.0,51.0,50.0,128328.0
11,60.0,0.0,0.0,183.0,29.0,60.0,60.0,129896.0
12,72.0,0.0,0.0,218.0,29.0,73.0,72.0,134552.0
13,84.0,0.0,0.0,254.0,27.0,84.0,84.0,137776.0
14,98.0,0.0,0.0,296.0,24.0,98.0,98.0,142768.0
15,112.0,0.0,0.0,337.0,30.0,112.0,112.0,146144.0
16,128.0,0.0,0.0,386.0,21.0,129.0,128.0,153040.0
17,144.0,0.0,0.0,436.0,26.0,144.0,144.0,153856.0
18,162.0,0.0,0.0,488.0,23.0,163.0,162.0,161344.0
19,180.0,0.0,0.0,542.0,34.0,180.0,180.0,167880.0
20,200.0,0.0,0.0,603.0,25.0,200.0,200.0,170776.0
21,220.0,0.0,0.0,661.0,26.0,220.0,220.0,179208.0
22,242.0,0.0,0.0,728.0,29.0,243.0,242.0,190728.0
23,264.0,0.0,0.0,796.0,31.0,271.0,264.0,190616.0
24,288.0,0.0,0.0,866.0,30.0,289.0,288.0,200424.0
25,312.0,0.0,0.0,938.0,23.0,312.0,312.0,209176.0
26,338.0,0.0,0.0,1019.0,26.0,338.0,338.0,212744.0
27,364.0,0.0,0.0,1093.0,25.0,364.0,364.0,225616.0
28,392.0,0.0,0.0,1178.0,25.0,393.0,392.0,240144.0
29,420.0,0.0,0.0,1264.0,37.0,429.0,420.0,239760.0
30,450.0,0.0,0.0,1352.0,26.0,451.0,450.0,250800.0
31,480.0,0.0,0.0,1442.0,26.0,480.0,480.0,263136.0
32,512.0,0.0,0.0,1542.0,25.0,512.0,512.0,262352.0
33,544.0,0.0,0.0,1633.0,32.0,544.0,544.0,282656.0
34,578.0,0.0,0.0,1736.0,34.0,579.0,578.0,302688.0
35,612.0,0.0,0.0,1840.0,28.0,623.0,612.0,299840.0
36,648.0,0.0,0.0,1946.0,28.0,649.0,648.0,313520.0
37,684.0,0.0,0.0,2054.0,27.0,684.0,684.0,329904.0
38,722.0,0.0,0.0,2172.0,32.0,722.0,722.0,327152.0
39,760.0,0.0,0.0,2281.0,28.0,760.0,760.0,352832.0
40,800.0,0.0,0.0,2402.0,32.0,801.0,800.0,378944.0
41,840.0,0.0,0.0,2525.0,32.0,853.0,840.0,373200.0
42,882.0,0.0,0.0,2648.0,29.0,883.0,882.0,389376.0
43,924.0,0.0,0.0,2774.0,33.0,924.0,924.0,410352.0
44,968.0,0.0,0.0,2910.0,34.0,968.0,968.0,406384.0
45,1012.0,0.0,0.0,3037.0,33.0,1012.0,1012.0,429040.0
46,1058.0,0.0,0.0,3176.0,41.0,1059.0,1058.0,469816.0
47,1104.0,0.0,0.0,3317.0,34.0,1119.0,1104.0,460584.0
48,1152.0,0.0,0.0,3458.0,42.0,1153.0,1152.0,478952.0
49,1200.0,0.0,0.0,3602.0,52.0,1200.0,1200.0,505016.0
50,1250.0,0.0,0.0,3756.0,40.0,1250.0,1250.0,499496.0
51,1300.0,0.0,0.0,3901.0,38.0,1300.0,1300.0,524344.0
52,1352.0,0.0,0.0,4058.0,40.0,1353.0,1352.0,565096.0
53,1404.0,0.0,0.0,4217.0,45.0,1421.0,1404.0,551272.0
54,1458.0,0.0,0.0,4376.0,44.0,1459.0,1458.0,572072.0
55,1512.0,0.0,0.0,4538.0,45.0,1512.0,1512.0,603768.0
56,1568.0,0.0,0.0,4710.0,60.0,1568.0,1568.0,596408.0
57,1624.0,0.0,0.0,4873.0,52.0,1624.0,1624.0,634776.0
58,1682.0,0.0,0.0,5048.0,54.0,1683.0,1682.0,683992.0
59,1740.0,0.0,0.0,5225.0,52.0,1759.0,1740.0,664920.0
60,1800.0,0.0,0.0,5402.0,56.0,1801.0,1800.0,687912.0
61,1860.0,0.0,0.0,5582.0,53.0,1860.0,1860.0,725992.0
62,1922.0,0.0,0.0,5772.0,59.0,1922.0,1922.0,716456.0
63,1984.0,0.0,0.0,5953.0,57.0,1984.0,1984.0,744760.0
64,2048.0,0.0,0.0,6146.0,62.0,2049.0,2048.0,803224.0
65,2112.0,0.0,0.0,6341.0,62.0,2133.0,2112.0,777976.0
66,2178.0,0.0,0.0,6536.0,61.0,2179.0,2178.0,803560.0
67,2244.0,0.0,0.0,6734.0,82.0,2244.0,2244.0,848408.0
68,2312.0,0.0,0.0,6942.0,67.0,2312.0,2312.0,836456.0
69,2380.0,0.0,0.0,7141.0,71.0,2380.0,2380.0,883624.0
70,2450.0,0.0,0.0,7352.0,75.0,2451.0,2450.0,952040.0
71,2520.0,0.0,0.0,7565.0,80.0,2543.0,2520.0,920168.0
72,2592.0,0.0,0.0,7778.0,74.0,2593.0,2592.0,948008.0
73,2664.0,0.0,0.0,7994.0,86.0,2664.0,2664.0,999928.0
74,2738.0,0.0,0.0,8220.0,84.0,2738.0,2738.0,984760.0
75,2812.0,0.0,0.0,8437.0,91.0,2812.0,2812.0,1016184.0
76,2888.0,0.0,0.0,8666.0,97.0,2889.0,2888.0,1095336.0
77,2964.0,0.0,0.0,8897.0,97.0,2989.0,2964.0,1055800.0
78,3042.0,0.0,0.0,9128.0,97.0,3043.0,3042.0,1086184.0
79,3120.0,0.0,0.0,9362.0,100.0,3120.0,3120.0,1145784.0
80,3200.0,0.0,0.0,9607.0,106.0,3200.0,3200.0,1126776.0
81,3280.0,0.0,0.0,9841.0,103.0,3280.0,3280.0,1159864.0
82,3362.0,0.0,0.0,10088.0,110.0,3363.0,3362.0,1276992.0
83,3444.0,0.0,0.0,10337.0,118.0,3471.0,3444.0,1202920.0
84,3528.0,0.0,0.0,10586.0,119.0,3529.0,3528.0,1235384.0
85,3612.0,0.0,0.0,10838.0,123.0,3612.0,3612.0,1329856.0
86,3698.0,0.0,0.0,11101.0,131.0,3698.0,3698.0,1306944.0
87,3784.0,0.0,0.0,11353.0,127.0,3784.0,3784.0,1341504.0
88,3872.0,0.0,0.0,11618.0,145.0,3873.0,3872.0,1444240.0
89,3960.0,0.0,0.0,11885.0,144.0,3989.0,3960.0,1387520.0
90,4050.0,0.0,0.0,12152.0,150.0,4051.0,4050.0,1422416.0
91,4140.0,0.0,0.0,12422.0,150.0,4140.0,4140.0,1499264.0
92,4232.0,0.0,0.0,12703.0,156.0,4232.0,4232.0,1470976.0
93,4324.0,0.0,0.0,12973.0,160.0,4324.0,4324.0,1507712.0
94,4418.0,0.0,0.0,13256.0,177.0,4419.0,4418.0,1623744.0
95,4512.0,0.0,0.0,13541.0,169.0,4543.0,4512.0,1557056.0
96,4608.0,0.0,0.0,13826.0,168.0,4609.0,4608.0,1594256.0
97,4704.0,0.0,0.0,14114.0,185.0,4704.0,4704.0,1680336.0
98,4802.0,0.0,0.0,14413.0,204.0,4802.0,4802.0,1646160.0
99,4900.0,0.0,0.0,14701.0,194.0,4900.0,4900.0,1685328.0
100,5000.0,0.0,0.0,15002.0,212.0,5001.0,5000.0,1854664.0
