boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
2,2.0,0.51,0.47,0.0,3.39,2.0,0.0,
3,4.0,1.03,1.07,0.0,3.5,2.48,0.0,
4,8.0,1.37,1.43,12.24,4.4,13.98,-595.68,
5,12.0,2.15,2.04,38.67,5.77,32.32,1546.56,
6,18.0,2.6,2.6,58.39,6.83,51.05,4231.92,
7,24.0,3.1,2.86,77.43,8.2,83.72,9862.48,
8,32.0,3.13,3.89,107.04,9.5,149.3,20017.6,
9,40.0,4.26,3.72,132.26,10.66,213.5,32157.2,
10,50.0,4.54,4.49,167.2,46.57,20258.61,2859635.84,
11,60.0,4.94,5.41,199.75,12.49,633.27,110155.28,
12,72.0,4.97,5.47,239.82,14.29,1094.55,201674.48,
13,84.0,6.45,5.74,278.12,40.08,9211.37,1710284.4,
14,98.0,6.89,7.01,323.35,26.08,4025.38,757811.92,
15,112.0,6.91,7.58,369.32,36.44,5990.52,1177571.2,
16,128.0,7.35,8.38,423.83,102.1,20859.26,4174690.32,
17,144.0,7.56,9.42,472.02,170.48,31793.97,6326383.28,
18,162.0,8.37,8.74,532.89,114.21,17257.92,3525694.0,
19,180.0,8.83,9.12,590.55,322.7,52196.29,10939673.84,
20,200.0,17.0,13.0,651.0,378.0,52718.0,10882136.0,
