boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
2,2.0,0.53,0.5,0.0,3.33,2.0,0.0,
3,4.0,0.96,1.04,0.0,10.57,2.45,0.0,
4,8.0,1.36,1.39,12.24,18.88,11.43,59385.92,
5,12.0,2.21,2.0,36.36,19.04,12.0,117206.48,
6,18.0,2.58,2.53,55.0,19.8,18.97,118598.8,
7,24.0,2.87,2.9,73.42,20.51,25.19,119911.44,
8,32.0,3.28,4.02,97.62,20.85,32.85,121723.92,
9,40.0,4.0,4.19,121.88,21.49,40.91,123726.32,
10,50.0,4.64,4.39,152.03,21.92,50.61,126204.72,
11,60.0,4.11,4.93,182.43,22.24,60.68,128943.52,
12,72.0,5.24,5.66,218.4,22.7,72.83,132052.56,
13,84.0,5.68,5.65,254.63,22.96,85.36,135199.76,
14,98.0,6.51,7.28,297.13,23.36,99.29,138897.52,
15,112.0,6.46,7.12,338.65,23.83,113.58,142680.4,
16,128.0,7.45,7.03,386.81,24.42,129.2,147014.32,
17,144.0,8.14,7.94,435.07,25.19,145.69,151412.08,
18,162.0,7.51,8.89,489.46,25.96,164.73,155918.88,
19,180.0,9.11,8.95,543.28,26.35,183.64,161388.32,
20,200.0,9.92,9.96,603.78,27.52,231.4,166355.52,
21,220.0,9.66,10.46,663.28,27.97,222.66,171721.04,
22,242.0,9.86,10.28,729.37,29.07,244.49,178152.56,
23,264.0,11.62,10.6,795.54,30.45,1126.07,184636.08,
24,288.0,13.46,12.91,867.99,29.36,408.82,190666.16,
25,312.0,10.69,12.39,939.56,29.39,391.72,196999.2,
26,338.0,13.56,12.23,1018.14,31.91,1177.61,203799.68,
27,364.0,13.34,12.78,1095.89,29.76,368.21,211655.92,
28,392.0,13.33,13.54,1179.67,29.64,396.25,219585.44,
29,420.0,15.1,14.61,1263.89,30.08,455.26,227217.12,
30,450.0,13.99,16.7,1354.35,31.04,665.65,235320.88,
31,480.0,13.42,15.23,1443.73,33.79,1334.64,244285.92,
32,512.0,14.13,15.24,1540.64,35.36,1642.86,254965.76,
33,544.0,16.34,15.22,1635.88,31.0,549.74,263334.96,
34,578.0,17.47,15.67,1737.92,31.15,583.23,272219.84,
35,612.0,16.96,15.98,1840.43,36.22,1675.13,281859.76,
36,648.0,18.33,18.9,1948.21,100.38,21999.2,291049.52,
37,684.0,19.0,17.03,2056.13,87.63,17133.97,301416.8,
38,722.0,17.010204081632654,19.540816326530614,2170.887755102041,104.08163265306122,20722.367346938776,313247.02040816325,
39,760.0,18.55,17.73,2283.83,33.47,764.92,325516.48,
40,800.0,19.88,17.31,2404.12,34.34,806.07,335646.4,
41,840.0,19.626262626262626,20.515151515151516,2524.191919191919,43.77777777777778,2721.5353535353534,348992.8080808081,
42,882.0,19.0,19.051020408163264,2650.673469387755,656.8571428571429,185103.32653061225,358638.85714285716,
43,924.0,21.45,19.12,2776.29,668.83,181752.86,371469.6,
44,968.0,20.010204081632654,18.20408163265306,2909.0714285714284,520.469387755102,132771.70408163266,382459.8367346939,
45,1012.0,22.32,22.03,3040.1,37.4,1020.3,395628.72,
46,1058.0,22.57,21.07,3177.86,38.36,1066.49,408835.84,
47,1104.0,22.21212121212121,24.19191919191919,3316.121212121212,39.08080808080808,1112.3030303030303,426840.0808080808,
48,1152.0,22.158730158730158,24.666666666666668,3460.4444444444443,39.888888888888886,1159.968253968254,439672.0,
