boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
2,3,1,0,0,3,2,0,0
2,1,0,0,-1,0,0,0,0
2,1,0,0,-1,0,0,0,0
2,2,1,0,0,4,2,0,0
2,2,1,1,0,5,2,0,0
2,2,0,1,0,3,2,0,0
2,1,1,1,-1,0,0,0,0
2,0,1,1,-1,0,0,0,0
2,3,0,0,0,4,2,0,0
2,3,1,1,0,4,2,0,0
2,0,0,1,-1,0,0,0,0
2,0,0,0,-1,0,0,0,0
2,1,1,1,-1,0,0,0,0
2,2,1,0,0,5,2,0,0
2,1,1,0,-1,0,0,0,0
2,3,0,0,0,3,2,0,0
2,1,0,1,-1,0,0,0,0
2,1,1,1,-1,0,0,0,0
2,2,1,1,0,3,2,0,0
2,3,1,1,0,4,2,0,0
3,6,0,0,0,18,3,0,0
3,1,0,2,-1,0,0,0,0
3,8,1,2,0,5,2,0,0
3,8,1,2,0,4,2,0,0
3,4,1,2,0,4,2,0,0
3,3,2,0,0,18,3,0,0
3,0,1,0,-1,0,0,0,0
3,6,1,1,0,4,2,0,0
3,1,2,2,-1,0,0,0,0
3,7,0,2,0,18,3,0,0
3,1,0,0,-1,0,0,0,0
3,1,2,2,-1,0,0,0,0
3,5,1,2,0,3,2,0,0
