boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
5,25,0,0,86,21,506,119856
5,25,0,0,86,27,506,119744
5,25,0,0,86,20,506,119744
5,25,0,1,85,24,402,119736
5,25,0,1,85,20,402,119624
5,25,0,1,85,21,402,119688
5,25,0,2,86,24,56,120168
5,25,0,2,86,20,56,120168
5,25,0,2,86,27,56,120168
5,25,0,3,85,21,448,120360
5,25,0,3,85,21,448,120360
5,25,0,3,85,21,448,120360
5,25,0,4,86,22,604,119240
5,25,0,4,86,23,604,119240
5,25,0,4,86,24,604,119240
5,25,0,5,85,20,67,120280
5,25,0,5,85,24,67,120280
5,25,0,5,85,20,67,120280
5,25,1,0,85,19,119,119328
5,25,1,0,85,24,119,119216
5,25,1,0,85,18,119,119328
5,25,1,1,86,21,609,120472
5,25,1,1,86,23,609,120360
5,25,1,1,86,24,609,120408
5,25,1,2,84,21,620,120024
5,25,1,2,84,31,620,120024
5,25,1,2,84,22,620,120024
5,25,1,3,86,21,519,120192
5,25,1,3,86,24,519,120192
5,25,1,3,86,22,519,120192
5,25,1,4,85,19,321,119576
5,25,1,4,85,21,321,119576
5,25,1,4,85,45,321,119624
5,25,1,5,86,22,656,119968
5,25,1,5,86,21,656,120080
5,25,1,5,86,21,656,120080
5,25,2,0,86,20,71,120168
5,25,2,0,86,19,71,120168
5,25,2,0,86,18,71,120056
5,25,2,1,85,20,225,120416
5,25,2,1,85,20,225,120416
5,25,2,1,85,19,225,120304
5,25,2,2,84,21,357,119632
5,25,2,2,84,21,357,119680
5,25,2,2,84,27,357,119680
5,25,2,3,85,21,270,120024
5,25,2,3,85,19,270,120024
5,25,2,3,85,27,270,120136
5,25,2,4,86,21,71,120056
5,25,2,4,86,18,71,120056
5,25,2,4,86,20,71,120056
5,25,2,5,85,22,347,120688
5,25,2,5,85,19,347,120528
5,25,2,5,85,20,347,120640
5,25,3,0,85,20,317,119856
5,25,3,0,85,20,317,119856
5,25,3,0,85,20,317,119968
5,25,3,1,86,20,584,120472
5,25,3,1,86,27,584,120408
5,25,3,1,86,26,584,120360
5,25,3,2,84,21,48,120056
5,25,3,2,84,18,48,120056
5,25,3,2,84,19,48,120056
5,25,3,3,84,26,345,119744
5,25,3,3,84,21,345,119632
5,25,3,3,84,21,345,119632
5,25,3,4,85,19,284,119800
5,25,3,4,85,21,284,119688
5,25,3,4,85,27,284,119688
5,25,3,5,86,21,568,120192
5,25,3,5,86,22,568,120304
5,25,3,5,86,21,568,120192
5,25,4,0,86,23,553,120080
5,25,4,0,86,22,553,120192
5,25,4,0,86,21,553,120240
5,25,4,1,85,24,358,120080
5,25,4,1,85,22,358,120080
5,25,4,1,85,24,358,120080
5,25,4,2,86,18,56,120056
5,25,4,2,86,24,56,120056
5,25,4,2,86,20,56,120056
5,25,4,3,85,24,532,119688
5,25,4,3,85,23,532,119688
5,25,4,3,85,29,532,119800
5,25,4,4,86,21,562,119912
5,25,4,4,86,26,562,119912
5,25,4,4,86,22,562,119912
5,25,4,5,85,19,67,120168
5,25,4,5,85,20,67,120280
5,25,4,5,85,21,67,120168
5,25,5,0,86,26,77,120056
5,25,5,0,86,19,77,120056
5,25,5,0,86,22,77,120168
5,25,5,1,84,20,268,120136
5,25,5,1,84,23,268,120248
5,25,5,1,84,20,268,120136
5,25,5,2,83,25,581,119800
5,25,5,2,83,24,581,119800
5,25,5,2,83,21,581,119800
5,25,5,3,84,25,253,119744
5,25,5,3,84,20,253,119856
5,25,5,3,84,24,253,119744
5,25,5,4,86,23,77,120056
5,25,5,4,86,20,77,120168
5,25,5,4,86,18,77,120168
5,25,5,5,86,20,329,119960
5,25,5,5,86,21,329,120024
5,25,5,5,86,26,329,120072
