boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
2,2,1,1,0,4,2,0,0
2,2,0,1,0,4,2,0,0
2,2,0,1,0,4,2,0,0
2,2,0,0,0,3,2,0,0
2,2,1,1,0,4,2,0,0
2,2,1,1,0,7,2,0,0
2,2,0,1,0,5,2,0,0
2,2,0,0,0,8,2,0,0
2,2,0,1,0,5,2,0,0
2,2,1,0,0,4,2,0,0
3,4,0,0,0,19,3,0,0
3,4,0,1,0,6,2,0,0
3,4,0,1,0,4,2,0,0
3,4,2,1,0,4,2,0,0
3,4,1,0,0,4,2,0,0
3,4,0,0,0,21,3,0,0
3,4,0,0,0,21,3,0,0
3,4,1,0,0,3,2,0,0
3,4,1,1,0,9,2,0,0
3,4,0,1,0,4,2,0,0
4,8,1,3,24,16,14,8,116880
4,8,2,2,0,29,15,0,0
4,8,0,3,0,17,15,0,0
4,8,3,0,0,32,15,0,0
4,8,3,1,24,17,14,8,116880
4,8,0,2,24,17,14,8,116992
4,8,2,2,0,17,15,0,0
4,8,1,3,24,23,14,8,116880
4,8,2,1,0,30,15,0,0
4,8,3,0,0,17,15,0,0
5,12,1,2,36,20,187,12,139000
5,12,0,3,36,19,164,12,135880
5,12,3,2,36,19,144,12,133704
5,12,1,0,36,19,162,12,135624
5,12,3,3,36,20,340,12,156272
5,12,3,2,36,26,144,12,133704
5,12,3,2,36,19,144,12,133816
5,12,2,4,36,20,218,12,141496
5,12,0,0,36,23,161,12,135560
5,12,1,3,36,32,312,12,152896
6,18,5,3,55,33,9181,18,1440392
6,18,5,4,55,28,8637,18,1323896
6,18,2,0,55,29,9215,18,1445256
6,18,3,2,55,31,7990,18,1277256
6,18,5,5,55,28,9962,18,1549960
6,18,2,0,55,29,9215,18,1445256
6,18,4,1,55,25,5687,18,911976
6,18,3,1,55,33,7565,18,1145064
6,18,1,5,55,29,8617,18,1319688
6,18,1,1,55,27,5971,18,965800
7,24,0,6,72,48,38279,24,7321496
7,24,0,6,72,54,38279,24,7321496
7,24,1,3,72,44,33942,24,6110704
7,24,2,6,72,53,37812,24,6869376
7,24,4,6,72,37,22076,24,3991496
7,24,6,0,72,45,36235,24,6882624
7,24,4,0,72,61,56734,24,9666344
7,24,1,4,73,103,175532,24,28324112
7,24,4,0,72,62,56734,24,9666456
7,24,3,1,72,75,60213,24,10100888
8,32,7,3,96,167,278582,32,58267928
8,32,0,1,96,350,600936,32,123993056
8,32,3,3,96,441,824342,32,156542392
8,32,3,7,96,316,577002,32,119276280
8,32,6,5,97,2379,4710959,32,782253416
8,32,2,3,97,1938,3907105,32,659638448
8,32,4,5,97,2080,4150241,32,717080720
8,32,7,1,96,301,531708,32,113413568
8,32,2,1,97,2258,4715834,32,783642624
8,32,7,1,96,333,531708,32,113760456
