boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
2,2,0,0,0,7,2,0,0
2,2,1,1,0,4,2,0,0
2,2,0,0,0,3,2,0,0
2,2,1,1,0,8,2,0,0
2,2,1,1,0,3,2,0,0
2,2,0,1,0,5,2,0,0
2,2,1,0,0,5,2,0,0
2,2,1,1,0,3,2,0,0
2,2,0,0,0,4,2,0,0
2,2,1,1,0,4,2,0,0
3,4,0,2,0,4,3,0,0
3,4,2,1,0,3,2,0,0
3,4,1,0,0,5,2,0,0
3,4,0,1,0,4,2,0,0
3,4,1,1,0,4,2,0,0
3,4,1,1,0,7,2,0,0
3,4,0,2,0,3,3,0,0
3,4,0,0,0,4,3,0,0
3,4,1,0,0,4,2,0,0
3,4,1,0,0,4,2,0,0
4,8,2,3,24,5,14,8,-1000
4,8,3,0,0,5,15,0,0
4,8,2,0,24,4,14,8,-1000
4,8,1,0,24,5,14,8,-1000
4,8,0,3,0,5,15,0,0
4,8,2,2,0,4,15,0,0
4,8,3,2,24,6,14,8,-1000
4,8,0,3,0,4,15,0,0
4,8,2,1,0,5,15,0,0
4,8,0,1,24,5,14,8,-1000
5,12,2,0,37,10,1643,12,176368
5,12,0,0,36,12,1662,12,178736
5,12,3,3,36,11,1658,12,176176
5,12,1,1,36,11,1665,12,176752
5,12,4,3,37,11,1688,12,180016
5,12,2,3,36,10,1603,12,167216
5,12,1,0,37,12,1691,12,180528
5,12,3,3,36,11,1658,12,176176
5,12,3,2,36,9,1606,12,167792
5,12,0,3,37,9,1691,12,180400
6,18,2,5,55,1848,1997939,18,229695264
6,18,5,0,55,1787,1930718,18,225845192
6,18,0,4,55,1694,1808445,18,213551872
6,18,3,3,55,1656,1864837,18,204175576
6,18,5,5,55,1794,1930378,18,225737752
6,18,5,1,55,1663,1807342,18,213870456
6,18,1,3,55,1796,1953455,18,224683888
6,18,4,4,55,1536,1640672,18,195829576
6,18,0,0,55,1792,1931205,18,225829768
6,18,1,0,55,1690,1815382,18,214588864
