boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
2,2,0,1,0,3,2,0,0
2,2,1,0,0,3,2,0,0
2,2,0,0,0,10,2,0,0
2,2,0,0,0,3,2,0,0
2,2,1,0,0,4,2,0,0
2,2,1,0,0,4,2,0,0
2,2,0,0,0,5,2,0,0
2,2,0,1,0,9,2,0,0
2,2,1,1,0,7,2,0,0
2,2,0,0,0,4,2,0,0
3,4,2,2,0,17,3,0,0
3,4,2,0,0,17,3,0,0
3,4,0,2,0,17,3,0,0
3,4,2,0,0,17,3,0,0
3,4,1,1,0,4,2,0,0
3,4,2,0,0,17,3,0,0
3,4,2,2,0,17,3,0,0
3,4,2,0,0,17,3,0,0
3,4,1,1,0,4,2,0,0
3,4,1,2,0,4,2,0,0
4,8,2,3,24,28,8,8,116608
4,8,3,3,0,20,15,0,0
4,8,0,1,24,18,8,8,116608
4,8,1,3,24,19,8,8,116496
4,8,3,0,0,18,15,0,0
4,8,0,2,24,18,8,8,116608
4,8,2,1,0,23,15,0,0
4,8,3,2,24,16,8,8,116496
4,8,3,1,24,22,8,8,116496
4,8,1,0,24,17,8,8,116496
5,12,4,3,37,18,12,12,117552
5,12,4,0,36,17,12,12,117552
5,12,4,0,36,24,12,12,117552
5,12,4,0,36,18,12,12,117552
5,12,2,0,37,18,12,12,117552
5,12,0,0,36,18,12,12,117328
5,12,1,2,37,18,12,12,117616
5,12,0,4,36,18,12,12,117440
5,12,4,0,36,29,12,12,117552
5,12,4,2,36,17,12,12,117440
6,18,5,0,55,19,18,18,119064
6,18,1,4,55,21,20,18,118888
6,18,5,0,55,18,18,18,118952
