boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,-1,0,0,0,0
2,2,1,0,0,4,2,0,0
2,2,0,1,0,9,2,0,0
2,2,0,0,0,5,2,0,0
2,2,1,0,0,5,2,0,0
2,2,1,0,0,4,2,0,0
2,2,0,1,0,4,2,0,0
2,2,0,1,0,9,2,0,0
2,2,1,0,0,5,2,0,0
2,2,0,1,0,6,2,0,0
2,2,1,0,0,3,2,0,0
3,4,0,2,0,4,3,0,0
3,4,0,0,0,5,3,0,0
3,4,0,0,0,5,3,0,0
3,4,1,0,0,4,2,0,0
3,4,1,1,0,6,2,0,0
3,4,2,2,0,5,3,0,0
3,4,2,0,0,4,3,0,0
3,4,1,2,0,3,2,0,0
3,4,0,2,0,5,3,0,0
3,4,2,0,0,4,3,0,0
4,8,2,0,24,6,13,8,-1064
4,8,3,3,0,5,15,0,0
4,8,0,0,0,5,15,0,0
4,8,3,3,0,5,15,0,0
4,8,2,3,24,4,13,8,-1064
4,8,3,0,0,5,15,0,0
4,8,0,3,0,5,15,0,0
4,8,1,2,0,5,15,0,0
4,8,2,3,24,4,13,8,-1064
4,8,1,2,0,5,15,0,0
5,12,1,2,38,6,28,12,1288
5,12,2,4,39,5,28,12,1520
5,12,4,3,39,6,31,12,1904
5,12,2,4,39,5,28,12,1520
5,12,1,2,38,5,28,12,1288
5,12,3,0,39,8,49,12,3888
5,12,1,2,38,5,28,12,1288
5,12,2,4,39,5,28,12,1520
5,12,4,4,39,5,25,12,1328
5,12,0,0,39,5,25,12,1328
6,18,3,1,59,6,81,18,9152
6,18,5,3,59,7,38,18,3248
6,18,0,1,59,8,60,18,5952
