boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
2,2.0,0.5,0.4,0.0,5.4,2.0,0.0,0.0
3,4.0,0.9,0.9,0.0,4.5,2.7,0.0,0.0
4,8.0,1.7,1.9,7.2,4.9,14.4,2.4,-319.2
5,12.0,2.0,2.5,38.7,5.5,29.8,12.0,1687.2
6,18.0,1.7,3.1,57.9,6.5,49.9,18.0,5070.4
7,24.0,1.2,3.0,78.7,7.2,78.1,24.0,10623.2
8,32.0,2.9,3.1,107.6,8.5,133.2,32.0,20176.0
9,40.0,3.3,4.5,132.6,9.1,214.5,40.0,37625.6
10,50.0,4.4,5.7,167.1,22.0,7078.2,50.0,1154195.2
11,60.0,5.2,4.1,199.6,11.5,682.6,60.0,134424.0
12,72.0,6.0,4.5,240.7,12.6,1070.7,72.0,224445.6
13,84.0,5.5,7.1,278.7,38.4,9503.7,84.0,2026876.8
14,98.0,6.0,6.8,324.1,20.5,2420.3,98.0,514525.6
15,112.0,6.9,7.4,369.3,35.8,5802.8,112.0,1309452.0
16,128.0,5.5,8.9,423.6,110.4,23259.4,128.0,5279364.8
17,144.0,6.2,10.1,470.7,315.0,64146.7,144.0,14589217.6
18,162.0,7.1,8.6,533.4,81.8,12174.3,162.0,2847693.6
19,180.0,9.1,10.2,595.6,427.3,68501.0,180.0,16241330.4
