boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
2,2.0,0.4,0.3,0.0,5.2,2.0,0.0,0.0
3,4.0,1.5,1.0,0.0,13.1,2.7,0.0,0.0
4,8.0,1.8,1.6,16.8,19.9,10.1,5.6,81580.8
5,12.0,2.7,1.1,36.3,19.5,12.0,12.0,117513.6
6,18.0,3.7,1.8,55.0,21.1,19.2,18.0,118948.8
7,24.0,2.8,2.4,73.3,19.2,25.1,24.0,120484.8
8,32.0,4.7,5.7,97.5,19.7,32.5,32.0,122619.2
9,40.0,5.5,2.8,122.3,21.2,41.3,40.0,124872.0
10,50.0,4.5,3.7,151.9,20.5,50.8,50.0,127796.8
11,60.0,3.5,4.5,182.2,21.2,60.6,60.0,130582.4
12,72.0,8.4,5.9,218.2,23.1,72.9,72.0,134315.2
13,84.0,6.0,5.8,254.0,21.7,85.0,84.0,138199.2
14,98.0,8.1,7.2,296.9,21.3,99.2,98.0,141540.8
15,112.0,6.5,7.9,338.3,21.5,114.4,112.0,146820.0
16,128.0,7.8,8.2,386.6,22.2,128.9,128.0,151897.6
17,144.0,9.0,8.2,434.8,24.8,145.7,144.0,156593.6
18,162.0,10.3,10.7,489.3,24.2,164.2,162.0,160977.6
19,180.0,9.3,10.3,543.2,24.3,181.2,180.0,168030.4
20,200.0,13.9,9.0,604.1,27.5,204.7,200.0,172620.8
21,220.0,7.3,8.6,663.0,26.6,222.5,220.0,179499.2
22,242.0,5.5,13.9,730.1,26.5,246.7,242.0,184361.6
23,264.0,7.2,10.5,795.7,29.7,267.7,264.0,192566.4
24,288.0,9.7,10.0,866.8,28.5,289.4,288.0,201928.0
25,312.0,10.5,13.8,940.1,24.8,316.7,312.0,206731.2
26,338.0,16.4,11.4,1018.7,27.3,535.2,338.0,215444.8
27,364.0,6.7,10.9,1095.2,27.5,367.5,364.0,225123.2
28,392.0,8.6,12.4,1178.8,27.9,394.1,392.0,234793.6
29,420.0,11.8,12.0,1264.0,27.1,423.5,420.0,242502.4
30,450.0,11.3,11.8,1354.3,33.7,2563.1,450.0,250864.0
31,480.0,10.9,13.0,1443.4,36.0,2606.7,480.0,260628.8
32,512.0,16.1,15.8,1539.9,480.8,183001.0,512.0,273441.6
33,544.0,17.6,16.3,1635.4,30.1,551.7,544.0,283163.2
34,578.0,14.6,12.2,1738.2,28.5,584.9,578.0,290433.6
35,612.0,15.5,16.0,1840.6,73.6,11170.9,612.0,303707.2
36,648.0,12.2,17.3,1948.3,31.2,653.7,648.0,312772.8
37,684.0,19.8,19.9,2055.5,29.2,685.8,684.0,325041.6
38,722.0,13.8,15.8,2170.5,124.7,24221.3,722.0,340825.6
39,760.0,23.3,19.1,2284.8,31.4,768.8,760.0,351177.6
40,800.0,15.2,22.5,2404.0,31.0,805.6,800.0,366486.4
41,840.0,16.0,16.6,2524.6,32.1,854.2,840.0,376675.2
42,882.0,16.3,21.3,2650.3,32.0,887.0,882.0,390307.2
43,924.0,20.8,19.0,2775.9,33.5,933.0,924.0,403649.6
44,968.0,18.1,22.0,2909.0,2131.8,517611.5,968.0,416331.2
45,1012.0,23.7,16.5,3039.5,36.7,1020.3,1012.0,436477.6
46,1058.0,17.1,21.8,3178.1,37.7,1066.5,1058.0,445790.4
47,1104.0,15.9,16.2,3316.5,36.7,1109.9,1104.0,470669.6
48,1152.0,21.1,19.0,3460.0,39.6,1156.4,1152.0,493024.0
49,1200.0,25.2,22.9,3603.1,41.3,1205.5,1200.0,504268.8
50,1250.0,33.5,17.125,3755.125,41.625,1257.875,1250.0,513236.0
51,1300.0,20.5,24.7,3903.5,40.9,1304.5,1300.0,527601.6
52,1352.0,19.8,23.6,4060.6,42.3,1364.4,1352.0,541806.4
53,1404.0,33.5,24.2,4215.6,43.4,1417.1,1404.0,565753.6
54,1458.0,25.666666666666668,31.555555555555557,4378.111111111111,43.77777777777778,1467.0,1458.0,588872.0
55,1512.0,23.9,33.9,4540.7,45.4,1521.5,1512.0,594883.2
56,1568.0,24.0,25.4,4708.7,48.4,1580.1,1568.0,616510.4
57,1624.0,28.9,29.6,4876.0,48.1,1630.4,1624.0,637536.0
58,1682.0,37.2,29.9,5050.0,52.3,1688.4,1682.0,656092.8
59,1740.0,23.75,25.625,5223.75,52.375,1743.0,1740.0,674098.0
60,1800.0,34.666666666666664,33.666666666666664,5404.666666666667,53.666666666666664,1813.0,1800.0,701320.0
61,1860.0,30.666666666666668,39.55555555555556,5583.777777777777,55.888888888888886,1880.4444444444443,1860.0,724224.8888888889
62,1922.0,28.7,24.7,5771.5,56.7,1930.8,1922.0,735742.4
63,1984.0,35.4,20.2,5955.5,58.0,1987.2,1984.0,761489.6
64,2048.0,32.9,35.5,6148.7,58.9,2050.9,2048.0,774433.6
65,2112.0,21.3,30.2,6340.4,65.2,2125.0,2112.0,794907.2
66,2178.0,34.125,45.125,6539.375,65.75,2196.25,2178.0,818914.0
67,2244.0,39.333333333333336,34.333333333333336,6737.0,66.66666666666667,2259.222222222222,2244.0,840326.2222222222
68,2312.0,33.3,33.6,6941.7,69.8,2327.2,2312.0,868755.2
69,2380.0,42.5,36.5,7144.5,70.2,2387.4,2380.0,874180.8
70,2450.0,45.5,33.4,7354.7,73.2,2458.1,2450.0,909220.8
71,2520.0,42.3,35.5,7564.7,75.3,2535.2,2520.0,938689.6
72,2592.0,40.2,39.0,7781.2,77.0,2604.9,2592.0,953556.8
73,2664.0,35.2,44.2,7996.6,81.1,2679.2,2664.0,990003.2
74,2738.0,33.7,42.2,8218.4,87.0,2753.7,2738.0,1019380.8
75,2812.0,48.4,38.6,8440.7,88.0,2852.0,2812.0,1041356.8
76,2888.0,26.3,35.0,8669.2,90.6,2896.8,2888.0,1045740.8
77,2964.0,45.1,28.0,8896.9,98.2,2981.8,2964.0,1079547.2
78,3042.0,45.55555555555556,34.44444444444444,9129.777777777777,94.11111111111111,3055.1111111111113,3042.0,1091197.3333333333
79,3120.0,40.5,34.5,9365.0,105.4,3409.0,3120.0,1126049.6
80,3200.0,47.1,38.8,9607.0,103.1,3214.4,3200.0,1153081.6
81,3280.0,49.2,34.1,9844.6,106.0,3300.0,3280.0,1185668.8
82,3362.0,43.5,42.6,10090.4,110.7,3377.2,3362.0,1209216.8
83,3444.0,45.0,31.9,10336.4,113.4,3452.3,3444.0,1239206.4
84,3528.0,33.0,34.6,10589.3,117.7,3548.7,3528.0,1260617.6
85,3612.0,53.5,23.9,10840.7,121.6,3626.7,3612.0,1321835.2
86,3698.0,43.44444444444444,33.55555555555556,11099.333333333334,128.55555555555554,3713.8888888888887,3698.0,1347328.0
87,3784.0,46.9,35.7,11356.4,130.2,3796.4,3784.0,1363532.8
88,3872.0,36.8,45.4,11621.5,133.1,3887.0,3872.0,1369156.8
89,3960.0,36.9,48.1,11884.5,140.6,3971.9,3960.0,1425518.4
90,4050.0,36.5,36.3,12153.7,144.3,4053.7,4050.0,1443107.2
91,4140.0,44.625,32.125,12424.25,149.875,4152.0,4140.0,1483822.0
92,4232.0,40.7,26.5,12700.8,156.8,4247.8,4232.0,1513902.4
93,4324.0,35.9,38.2,12976.3,158.1,4328.1,4324.0,1509430.4
94,4418.0,63.4,58.0,13258.1,165.5,4437.3,4418.0,1564033.6
95,4512.0,42.0,56.0,13540.0,172.22222222222223,4529.888888888889,4512.0,1613239.111111111
96,4608.0,34.44444444444444,51.666666666666664,13828.888888888889,178.11111111111111,4623.333333333333,4608.0,1628231.111111111
97,4704.0,46.7,47.4,14115.7,182.6,4727.3,4704.0,1651312.0
98,4802.0,56.0,45.375,14411.5,193.25,4830.5,4802.0,1678092.0
99,4900.0,46.6,60.2,14704.2,203.0,4917.6,4900.0,1704276.8
100,5000.0,40.7,50.8,15004.3,203.8,5020.4,5000.0,1736127.2
