boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
2,2.0,0.53,0.38,0.0,5.14,2.0,0.0,0.0
3,4.0,0.93,0.95,0.0,4.68,2.51,0.0,0.0
4,8.0,1.37,1.7,13.44,4.68,13.88,4.48,-595.84
5,12.0,1.86,2.07,38.53,5.69,33.63,12.0,2155.28
6,18.0,2.25,2.53,58.46,6.5,55.17,18.0,5618.72
7,24.0,3.0,3.36,77.63,7.35,85.91,24.0,11747.36
8,32.0,3.89,3.28,107.04,8.65,151.83,32.0,23561.52
9,40.0,3.97,3.6,131.82,9.53,211.84,40.0,36553.6
10,50.0,4.56,4.41,166.71,28.27,10632.88,50.0,1702795.44
11,60.0,4.98,4.46,199.38,11.32,636.13,60.0,125608.0
12,72.0,5.38,5.23,239.21,12.98,1061.6,72.0,221850.32
13,84.0,6.33,6.52,278.29,75.82,27563.04,84.0,5318631.04
14,98.0,6.92,6.22,322.81,29.42,5139.68,98.0,1091167.2
15,112.0,6.73,6.68,370.14,33.88,5370.66,112.0,1199503.36
16,128.0,7.76,7.75,422.5,109.04,23836.13,128.0,5379022.8
17,144.0,8.3,7.43,472.42,207.23,40251.71,144.0,9105731.44
18,162.0,8.3,8.72,532.86,102.12,15607.77,162.0,3622371.44
19,180.0,8.03,9.95,591.29,288.33,45983.16,180.0,10798252.64
