boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
2,2.0,0.51,0.46,0.0,4.87,2.0,0.0,0.0
3,4.0,0.84,1.0,0.0,11.01,2.41,0.0,0.0
4,8.0,1.47,1.68,13.2,19.54,11.15,4.4,64109.76
5,12.0,1.97,1.89,36.38,19.56,12.0,12.0,117420.8
6,18.0,2.07,2.4,55.0,20.1,19.0,18.0,119009.04
7,24.0,2.85,3.14,73.39,20.73,25.11,24.0,120518.4
8,32.0,3.56,3.56,97.45,20.86,32.53,32.0,122578.4
9,40.0,3.66,3.58,121.79,21.29,40.87,40.0,124832.48
10,50.0,4.3,5.17,152.27,22.12,50.66,50.0,127532.16
11,60.0,4.71,4.75,182.35,22.0,60.63,60.0,130885.6
12,72.0,6.03,5.39,218.55,22.13,73.01,72.0,134276.32
13,84.0,5.55,5.5,254.46,22.77,85.26,84.0,138188.88
14,98.0,7.42,7.29,296.88,22.87,99.23,98.0,142102.4
15,112.0,6.95,7.38,338.77,23.15,113.8,112.0,146351.12
16,128.0,8.07,7.56,386.74,23.13,129.42,128.0,151186.48
17,144.0,9.15,8.99,435.05,23.89,146.03,144.0,156187.76
18,162.0,9.17,9.06,489.44,24.3,163.81,162.0,161444.24
19,180.0,8.5,8.15,543.13,24.8,189.94,180.0,167552.0
20,200.0,10.04,8.15,603.69,25.72,215.97,200.0,173388.0
21,220.0,9.97,9.8,663.11,25.53,223.06,220.0,179127.36
22,242.0,10.19,10.58,729.33,25.8,244.17,242.0,186297.92
23,264.0,11.74,10.65,795.55,26.91,323.74,264.0,193627.84
24,288.0,12.13,11.1,867.98,26.7,348.1,288.0,200437.92
25,312.0,12.21,12.17,939.95,26.75,449.16,312.0,207829.28
26,338.0,12.58,12.81,1018.08,26.79,399.04,338.0,216911.6
27,364.0,13.07,15.4,1095.7,26.67,369.29,364.0,225326.4
28,392.0,12.53,14.44,1179.41,26.57,396.21,392.0,233501.28
29,420.0,13.79,12.94,1263.99,27.38,425.11,420.0,242286.88
30,450.0,14.33,13.55,1353.84,30.73,1435.82,450.0,251524.16
31,480.0,15.04,14.82,1443.73,30.15,1333.76,480.0,261418.4
32,512.0,16.78,14.12,1540.46,75.0,19407.75,512.0,272482.4
33,544.0,15.27,14.75,1635.68,29.35,549.17,544.0,283033.6
34,578.0,16.84,16.8,1737.97,28.46,583.57,578.0,292227.04
35,612.0,17.28,16.84,1840.18,208.63,61510.78,612.0,303882.08
36,648.0,16.67,15.32,1947.81,45.95,4500.32,648.0,315216.0
37,684.0,20.33,17.49,2055.97,78.33,14784.63,684.0,326509.6
38,722.0,17.701030927835053,19.4020618556701,2170.9278350515465,73.98969072164948,12838.701030927836,722.0,339105.4845360825
39,760.0,18.18,20.87,2283.84,30.88,768.46,760.0,354038.72
40,800.0,19.75,19.33,2403.87,31.55,807.09,800.0,365490.24
41,840.0,20.22,20.88,2524.31,143.0,24590.82,840.0,379338.56
42,882.0,20.03,20.64,2650.79,425.39,104080.14,882.0,391118.72
43,924.0,21.08,20.64,2776.06,660.51,163758.82,924.0,405792.96
44,968.0,21.92,20.0,2908.94,573.38,132412.96,968.0,418026.08
45,1012.0,21.15,23.63,3040.26,34.43,1019.61,1012.0,432253.04
46,1058.0,21.6,22.78,3177.81,35.09,1064.47,1058.0,449582.96
47,1104.0,23.59,22.82,3316.16,75.37,8411.39,1104.0,470085.28
48,1152.0,26.25,22.84090909090909,3460.159090909091,38.11363636363637,1159.25,1152.0,483729.0909090909
